stock_id,100plus_curr,400plus_curr,1000plus_curr,100plus_prev,400plus_prev,1000plus_prev,diff_100plus,diff_400plus,diff_1000plus,股票名稱
3234,50.13616992097184,38.316607324647286,25.74529921105321,40.7551464685814,29.510734149415725,18.891283413458545,9.381023452390437,8.80587317523156,6.854015797594666,光環
3147,72.93285933236952,57.35186651556392,50.08491460504425,64.90447201354569,53.57201807565305,47.74097027088094,8.028387318823832,3.7798484399108716,2.3439443341633037,大綜
4513,64.28352047750195,53.83606490711011,50.15946593975833,57.58985720430492,45.35440166312002,41.437063653381614,6.693663273197032,8.481663243990084,8.722402286376713,福裕
3324,61.88337706404871,50.691910598552035,32.34284057160215,56.025479250009326,46.27234270971198,27.820550025781387,5.857897814039383,4.4195678888400565,4.522290545820766,雙鴻
4534,49.24656996648928,37.73181580677761,27.705850288679613,43.913653614052336,33.197828368653575,26.350839049230096,5.332916352436946,4.533987438124036,1.3550112394495173,慶騰
4939,46.422448119297684,34.339979561076795,25.34321998049956,41.29203929236145,28.889516536656274,18.375179738737135,5.1304088269362325,5.450463024420522,6.968040241762424,亞電
3535,38.792904540378274,27.938988940443473,22.6939283125224,33.74671464567103,25.72158254208135,21.96023733941592,5.046189894707247,2.2174063983621224,0.73369097310648,晶彩科
6282,61.81476418711745,56.100696704834505,52.318395532684434,56.781052242341346,50.902010108780225,47.7276999359985,5.033711944776101,5.19868659605428,4.590695596685933,康舒
6265,64.22785601998562,54.88139502512737,46.514396611093254,59.27938808526893,51.53060893340259,43.82927412398544,4.948467934716696,3.3507860917247783,2.6851224871078117,方土昶
4967,35.65898696736388,27.773640004353744,21.475576432932595,30.937800389399005,21.83343670427122,13.34636149092482,4.721186577964875,5.940203300082523,8.129214942007774,十銓
4931,44.99736836730988,34.46679281279142,13.811092652459262,40.538943794155,29.826442493361743,12.820561939332938,4.458424573154879,4.640350319429675,0.9905307131263239,新盛力
4720,56.088508371975884,44.93304461802149,38.386956230418626,51.63241634007994,40.412917013535846,35.19962448578272,4.456092031895942,4.520127604485644,3.1873317446359053,德淵
6805,77.63890180654357,60.44184855664513,48.81671932985399,73.28455117999421,56.93637163962205,43.013679339245726,4.354350626549362,3.505476917023074,5.803039990608262,富世達
3550,57.392278010227805,48.292572756857275,38.453290562529055,53.127873547187356,43.250204556020456,36.648708507670854,4.264404463040449,5.042368200836819,1.8045820548582014,聯穎
6806,64.14348294353516,60.21036691492577,58.586465853757986,60.417788623570544,56.42858048448672,54.52929782980519,3.7256943199646173,3.7817864304390483,4.057168023952798,森崴能源
2243,72.18908473477431,59.503444221054934,39.21292331451291,68.49067331034706,54.521672770141535,38.97796360448145,3.698411424427249,4.981771450913399,0.2349597100314611,宏旭-KY
3615,44.12389850546342,35.000963092046014,27.8909178053957,40.50137251570743,31.71637520547132,24.598819728798887,3.6225259897559923,3.2845878865746947,3.2920980765968118,安可
5309,53.496140503514155,46.40443774915211,40.94828478633249,50.35895610383561,44.069807125925045,39.149103089231005,3.137184399678546,2.3346306232270635,1.7991816971014885,系統電
