date,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%),stock_id
20260814,1,1-999,"46,117","775,814",0.43,4533
20260814,2,"1,000-5,000","18,386","37,057,077",20.76,4533
20260814,3,"5,001-10,000","2,324","18,851,852",10.56,4533
20260814,4,"10,001-15,000",627,"8,134,537",4.55,4533
20260814,5,"15,001-20,000",375,"7,025,264",3.93,4533
20260814,6,"20,001-30,000",285,"7,285,514",4.08,4533
20260814,7,"30,001-40,000",134,"4,864,364",2.72,4533
20260814,8,"40,001-50,000",92,"4,280,229",2.39,4533
20260814,9,"50,001-100,000",144,"10,120,936",5.67,4533
20260814,10,"100,001-200,000",45,"5,967,216",3.34,4533
20260814,11,"200,001-400,000",25,"6,830,166",3.82,4533
20260814,12,"400,001-600,000",8,"3,841,299",2.15,4533
20260814,13,"600,001-800,000",7,"4,694,721",2.63,4533
20260814,14,"800,001-1,000,000",1,"896,000",0.50,4533
20260814,15,"1,000,001以上",10,"57,809,121",32.39,4533
20260814,16,合　計,"68,580","178,434,110",100.00,4533
20260807,1,1-999,"46,075","766,229",0.42,4533
20260807,2,"1,000-5,000","18,219","36,754,675",20.59,4533
20260807,3,"5,001-10,000","2,315","18,746,916",10.50,4533
20260807,4,"10,001-15,000",633,"8,212,836",4.60,4533
20260807,5,"15,001-20,000",390,"7,318,664",4.10,4533
20260807,6,"20,001-30,000",299,"7,640,327",4.28,4533
20260807,7,"30,001-40,000",126,"4,564,364",2.55,4533
20260807,8,"40,001-50,000",86,"4,020,029",2.25,4533
20260807,9,"50,001-100,000",150,"10,496,936",5.88,4533
20260807,10,"100,001-200,000",47,"6,098,216",3.41,4533
20260807,11,"200,001-400,000",26,"7,242,207",4.05,4533
20260807,12,"400,001-600,000",6,"2,895,299",1.62,4533
20260807,13,"600,001-800,000",6,"4,210,721",2.35,4533
20260807,14,"800,001-1,000,000",2,"1,707,000",0.95,4533
20260807,15,"1,000,001以上",10,"57,759,691",32.37,4533
20260807,16,合　計,"68,390","178,434,110",100.00,4533
20260731,1,1-999,"46,072","769,950",0.48,4533
20260731,2,"1,000-5,000","18,300","36,887,601",23.28,4533
20260731,3,"5,001-10,000","2,325","18,811,403",11.87,4533
20260731,4,"10,001-15,000",623,"8,103,836",5.11,4533
20260731,5,"15,001-20,000",394,"7,399,949",4.67,4533
20260731,6,"20,001-30,000",300,"7,659,342",4.83,4533
20260731,7,"30,001-40,000",125,"4,516,364",2.85,4533
20260731,8,"40,001-50,000",89,"4,149,029",2.61,4533
20260731,9,"50,001-100,000",152,"10,710,938",6.76,4533
20260731,10,"100,001-200,000",44,"5,718,216",3.60,4533
20260731,11,"200,001-400,000",24,"6,718,166",4.24,4533
20260731,12,"400,001-600,000",7,"3,279,299",2.06,4533
20260731,13,"600,001-800,000",6,"4,114,721",2.59,4533
20260731,14,"800,001-1,000,000",2,"1,869,000",1.17,4533
20260731,15,"1,000,001以上",9,"37,727,208",23.81,4533
20260731,16,差異數調整（說明4）,,-912,-0.00,4533
20260731,17,合　計,"68,472","158,434,110",100.00,4533
20260724,1,1-999,"46,074","771,744",0.48,4533
20260724,2,"1,000-5,000","18,387","36,986,276",23.34,4533
20260724,3,"5,001-10,000","2,335","18,896,454",11.92,4533
20260724,4,"10,001-15,000",618,"8,019,236",5.06,4533
20260724,5,"15,001-20,000",389,"7,313,262",4.61,4533
20260724,6,"20,001-30,000",299,"7,624,039",4.81,4533
20260724,7,"30,001-40,000",127,"4,601,374",2.90,4533
20260724,8,"40,001-50,000",90,"4,194,019",2.64,4533
20260724,9,"50,001-100,000",151,"10,678,936",6.74,4533
20260724,10,"100,001-200,000",45,"5,993,216",3.78,4533
20260724,11,"200,001-400,000",24,"6,936,033",4.37,4533
