date,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%),stock_id
20260320,1,1-999,"6,031","970,414",1.03,8478
20260320,2,"1,000-5,000","4,795","8,405,809",8.94,8478
20260320,3,"5,001-10,000",375,"2,823,927",3.00,8478
20260320,4,"10,001-15,000",86,"1,078,824",1.14,8478
20260320,5,"15,001-20,000",56,"1,013,457",1.07,8478
20260320,6,"20,001-30,000",46,"1,168,496",1.24,8478
20260320,7,"30,001-40,000",20,"690,221",0.73,8478
20260320,8,"40,001-50,000",12,"552,523",0.58,8478
20260320,9,"50,001-100,000",26,"1,997,631",2.12,8478
20260320,10,"100,001-200,000",7,"998,431",1.06,8478
20260320,11,"200,001-400,000",6,"1,783,144",1.89,8478
20260320,12,"400,001-600,000",1,"570,599",0.60,8478
20260320,13,"600,001-800,000",1,"616,000",0.65,8478
20260320,14,"800,001-1,000,000",0,0,0.00,8478
20260320,15,"1,000,001以上",12,"71,302,800",75.87,8478
20260320,16,合　計,"11,474","93,972,276",100.00,8478
20260313,1,1-999,"6,050","968,672",1.03,8478
20260313,2,"1,000-5,000","4,781","8,342,696",8.87,8478
20260313,3,"5,001-10,000",376,"2,839,587",3.02,8478
20260313,4,"10,001-15,000",84,"1,045,724",1.11,8478
20260313,5,"15,001-20,000",57,"1,028,296",1.09,8478
20260313,6,"20,001-30,000",47,"1,191,101",1.26,8478
20260313,7,"30,001-40,000",18,"624,961",0.66,8478
20260313,8,"40,001-50,000",12,"554,776",0.59,8478
20260313,9,"50,001-100,000",28,"2,138,511",2.27,8478
20260313,10,"100,001-200,000",7,"994,431",1.05,8478
20260313,11,"200,001-400,000",6,"1,776,144",1.89,8478
20260313,12,"400,001-600,000",1,"530,577",0.56,8478
20260313,13,"600,001-800,000",1,"634,000",0.67,8478
20260313,14,"800,001-1,000,000",0,0,0.00,8478
20260313,15,"1,000,001以上",12,"71,302,800",75.87,8478
20260313,16,合　計,"11,480","93,972,276",100.00,8478
20260306,1,1-999,"6,056","966,159",1.02,8478
20260306,2,"1,000-5,000","4,804","8,361,563",8.89,8478
20260306,3,"5,001-10,000",376,"2,812,324",2.99,8478
20260306,4,"10,001-15,000",90,"1,121,516",1.19,8478
20260306,5,"15,001-20,000",57,"1,025,929",1.09,8478
20260306,6,"20,001-30,000",48,"1,218,143",1.29,8478
20260306,7,"30,001-40,000",15,"515,764",0.54,8478
20260306,8,"40,001-50,000",12,"540,932",0.57,8478
20260306,9,"50,001-100,000",31,"2,283,824",2.43,8478
20260306,10,"100,001-200,000",8,"1,133,067",1.20,8478
20260306,11,"200,001-400,000",5,"1,561,508",1.66,8478
20260306,12,"400,001-600,000",1,"496,747",0.52,8478
20260306,13,"600,001-800,000",1,"632,000",0.67,8478
20260306,14,"800,001-1,000,000",0,0,0.00,8478
20260306,15,"1,000,001以上",12,"71,302,800",75.87,8478
20260306,16,合　計,"11,516","93,972,276",100.00,8478
20260226,1,1-999,"6,093","967,789",1.02,8478
20260226,2,"1,000-5,000","4,821","8,394,746",8.93,8478
20260226,3,"5,001-10,000",374,"2,808,995",2.98,8478
20260226,4,"10,001-15,000",87,"1,079,196",1.14,8478
20260226,5,"15,001-20,000",59,"1,050,257",1.11,8478
20260226,6,"20,001-30,000",51,"1,296,374",1.37,8478
20260226,7,"30,001-40,000",16,"559,654",0.59,8478
20260226,8,"40,001-50,000",10,"459,262",0.48,8478
20260226,9,"50,001-100,000",27,"1,945,278",2.07,8478
20260226,10,"100,001-200,000",11,"1,414,121",1.50,8478
20260226,11,"200,001-400,000",5,"1,540,508",1.63,8478
20260226,12,"400,001-600,000",1,"535,296",0.56,8478
20260226,13,"600,001-800,000",1,"618,000",0.65,8478
20260226,14,"800,001-1,000,000",0,0,0.00,8478
20260226,15,"1,000,001以上",12,"71,302,800",75.87,8478
20260226,16,合　計,"11,568","93,972,276",100.00,8478
20260213,1,1-999,"6,130","965,989",1.02,8478
20260213,2,"1,000-5,000","4,863","8,437,093",8.97,8478
20260213,3,"5,001-10,000",379,"2,838,828",3.02,8478
20260213,4,"10,001-15,000",86,"1,061,279",1.12,8478
20260213,5,"15,001-20,000",55,"983,342",1.04,8478
20260213,6,"20,001-30,000",53,"1,337,360",1.42,8478
20260213,7,"30,001-40,000",16,"560,540",0.59,8478
20260213,8,"40,001-50,000",13,"598,262",0.63,8478
20260213,9,"50,001-100,000",25,"1,868,609",1.98,8478
20260213,10,"100,001-200,000",10,"1,303,449",1.38,8478
20260213,11,"200,001-400,000",5,"1,540,508",1.63,8478
20260213,12,"400,001-600,000",1,"528,217",0.56,8478
20260213,13,"600,001-800,000",1,"646,000",0.68,8478
20260213,14,"800,001-1,000,000",0,0,0.00,8478
20260213,15,"1,000,001以上",12,"71,302,800",75.87,8478
20260213,16,合　計,"11,649","93,972,276",100.00,8478
20260206,1,1-999,"6,128","965,051",1.02,8478
20260206,2,"1,000-5,000","4,804","8,256,152",8.78,8478
20260206,3,"5,001-10,000",366,"2,764,937",2.94,8478
20260206,4,"10,001-15,000",86,"1,075,158",1.14,8478
20260206,5,"15,001-20,000",48,"858,583",0.91,8478
20260206,6,"20,001-30,000",53,"1,330,922",1.41,8478
20260206,7,"30,001-40,000",16,"550,143",0.58,8478
20260206,8,"40,001-50,000",10,"461,262",0.49,8478
20260206,9,"50,001-100,000",24,"1,733,345",1.84,8478
20260206,10,"100,001-200,000",15,"1,936,358",2.06,8478
20260206,11,"200,001-400,000",5,"1,516,508",1.61,8478
20260206,12,"400,001-600,000",1,"568,057",0.60,8478
20260206,13,"600,001-800,000",1,"653,000",0.69,8478
20260206,14,"800,001-1,000,000",0,0,0.00,8478
20260206,15,"1,000,001以上",12,"71,302,800",75.87,8478
20260206,16,合　計,"11,569","93,972,276",100.00,8478
20260130,1,1-999,"6,161","965,285",1.02,8478
20260130,2,"1,000-5,000","4,812","8,243,329",8.77,8478
20260130,3,"5,001-10,000",357,"2,694,179",2.86,8478
20260130,4,"10,001-15,000",91,"1,139,721",1.21,8478
20260130,5,"15,001-20,000",48,"864,820",0.92,8478
20260130,6,"20,001-30,000",53,"1,336,552",1.42,8478
20260130,7,"30,001-40,000",14,"478,537",0.50,8478
20260130,8,"40,001-50,000",13,"606,445",0.64,8478
20260130,9,"50,001-100,000",26,"1,917,727",2.04,8478
20260130,10,"100,001-200,000",13,"1,693,106",1.80,8478
20260130,11,"200,001-400,000",5,"1,503,508",1.59,8478
20260130,12,"400,001-600,000",1,"576,267",0.61,8478
20260130,13,"600,001-800,000",1,"650,000",0.69,8478
20260130,14,"800,001-1,000,000",0,0,0.00,8478
20260130,15,"1,000,001以上",12,"71,302,800",75.87,8478
20260130,16,合　計,"11,607","93,972,276",100.00,8478
20260123,1,1-999,"6,182","967,529",1.02,8478
20260123,2,"1,000-5,000","4,802","8,175,670",8.70,8478
20260123,3,"5,001-10,000",354,"2,672,910",2.84,8478
20260123,4,"10,001-15,000",89,"1,111,974",1.18,8478
20260123,5,"15,001-20,000",49,"878,820",0.93,8478
20260123,6,"20,001-30,000",48,"1,214,056",1.29,8478
20260123,7,"30,001-40,000",17,"580,720",0.61,8478
20260123,8,"40,001-50,000",15,"677,321",0.72,8478
20260123,9,"50,001-100,000",25,"1,815,504",1.93,8478
20260123,10,"100,001-200,000",13,"1,737,750",1.84,8478
20260123,11,"200,001-400,000",5,"1,504,508",1.60,8478
20260123,12,"400,001-600,000",0,0,0.00,8478
20260123,13,"600,001-800,000",2,"1,332,714",1.41,8478
20260123,14,"800,001-1,000,000",0,0,0.00,8478
20260123,15,"1,000,001以上",12,"71,302,800",75.87,8478
20260123,16,合　計,"11,613","93,972,276",100.00,8478
