date,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%),stock_id
20260918,1,1-999,"6,451","1,024,423",1.91,6667
20260918,2,"1,000-5,000","5,952","9,864,122",18.44,6667
20260918,3,"5,001-10,000",424,"3,120,790",5.83,6667
20260918,4,"10,001-15,000",120,"1,516,978",2.83,6667
20260918,5,"15,001-20,000",56,"977,876",1.82,6667
20260918,6,"20,001-30,000",53,"1,301,232",2.43,6667
20260918,7,"30,001-40,000",26,"911,592",1.70,6667
20260918,8,"40,001-50,000",15,"690,802",1.29,6667
20260918,9,"50,001-100,000",32,"2,066,689",3.86,6667
20260918,10,"100,001-200,000",11,"1,494,896",2.79,6667
20260918,11,"200,001-400,000",5,"1,140,845",2.13,6667
20260918,12,"400,001-600,000",3,"1,422,970",2.66,6667
20260918,13,"600,001-800,000",0,0,0.00,6667
20260918,14,"800,001-1,000,000",1,"972,276",1.81,6667
20260918,15,"1,000,001以上",7,"26,973,387",50.43,6667
20260918,16,合　計,"13,156","53,478,878",100.00,6667
20260911,1,1-999,"6,461","1,021,824",2.07,6667
20260911,2,"1,000-5,000","5,991","9,934,316",20.15,6667
20260911,3,"5,001-10,000",415,"3,043,264",6.17,6667
20260911,4,"10,001-15,000",121,"1,524,722",3.09,6667
20260911,5,"15,001-20,000",54,"940,939",1.90,6667
20260911,6,"20,001-30,000",53,"1,301,793",2.64,6667
20260911,7,"30,001-40,000",26,"909,348",1.84,6667
20260911,8,"40,001-50,000",13,"599,502",1.21,6667
20260911,9,"50,001-100,000",34,"2,206,093",4.47,6667
20260911,10,"100,001-200,000",10,"1,420,341",2.88,6667
20260911,11,"200,001-400,000",5,"1,220,103",2.47,6667
20260911,12,"400,001-600,000",3,"1,410,970",2.86,6667
20260911,13,"600,001-800,000",0,0,0.00,6667
20260911,14,"800,001-1,000,000",1,"972,276",1.97,6667
20260911,15,"1,000,001以上",6,"22,773,387",46.21,6667
20260911,16,合　計,"13,193","49,278,878",100.00,6667
20260904,1,1-999,"6,238","990,461",2.00,6667
20260904,2,"1,000-5,000","6,086","10,125,720",20.54,6667
20260904,3,"5,001-10,000",438,"3,203,961",6.50,6667
20260904,4,"10,001-15,000",121,"1,509,484",3.06,6667
20260904,5,"15,001-20,000",60,"1,033,427",2.09,6667
20260904,6,"20,001-30,000",54,"1,322,848",2.68,6667
20260904,7,"30,001-40,000",27,"938,728",1.90,6667
20260904,8,"40,001-50,000",13,"606,231",1.23,6667
20260904,9,"50,001-100,000",36,"2,348,833",4.76,6667
