date,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%),stock_id
20260515,1,1-999,"197,052","60,531,178",0.75,3481
20260515,2,"1,000-5,000","353,587","787,525,053",9.85,3481
20260515,3,"5,001-10,000","70,321","551,657,350",6.90,3481
20260515,4,"10,001-15,000","21,244","267,404,361",3.34,3481
20260515,5,"15,001-20,000","16,294","294,417,833",3.68,3481
20260515,6,"20,001-30,000","12,698","321,973,982",4.03,3481
20260515,7,"30,001-40,000","6,378","226,189,496",2.83,3481
20260515,8,"40,001-50,000","4,093","189,355,372",2.37,3481
20260515,9,"50,001-100,000","7,310","526,525,857",6.59,3481
20260515,10,"100,001-200,000","2,898","404,512,449",5.06,3481
20260515,11,"200,001-400,000","1,280","357,435,321",4.47,3481
20260515,12,"400,001-600,000",372,"181,051,118",2.26,3481
20260515,13,"600,001-800,000",174,"121,804,125",1.52,3481
20260515,14,"800,001-1,000,000",96,"86,356,444",1.08,3481
20260515,15,"1,000,001以上",455,"3,612,462,798",45.21,3481
20260515,16,差異數調整（說明4）,,"-5,400",-0.00,3481
20260515,17,合　計,"694,252","7,989,197,337",100.00,3481
20260508,1,1-999,"192,825","61,017,739",0.76,3481
20260508,2,"1,000-5,000","354,334","806,159,369",10.09,3481
20260508,3,"5,001-10,000","75,606","591,098,783",7.39,3481
20260508,4,"10,001-15,000","22,973","288,934,447",3.61,3481
20260508,5,"15,001-20,000","17,457","315,068,624",3.94,3481
20260508,6,"20,001-30,000","13,649","345,472,105",4.32,3481
20260508,7,"30,001-40,000","6,974","246,734,045",3.08,3481
20260508,8,"40,001-50,000","4,428","205,120,507",2.56,3481
20260508,9,"50,001-100,000","7,637","550,008,128",6.88,3481
20260508,10,"100,001-200,000","3,099","434,720,359",5.44,3481
20260508,11,"200,001-400,000","1,318","368,049,535",4.60,3481
20260508,12,"400,001-600,000",375,"182,080,042",2.27,3481
20260508,13,"600,001-800,000",181,"126,318,895",1.58,3481
20260508,14,"800,001-1,000,000",95,"85,318,486",1.06,3481
20260508,15,"1,000,001以上",464,"3,383,351,273",42.34,3481
20260508,16,差異數調整（說明4）,,"-255,000",-0.00,3481
20260508,17,合　計,"701,415","7,989,197,337",100.00,3481
20260430,1,1-999,"194,433","61,960,465",0.77,3481
20260430,2,"1,000-5,000","392,271","905,287,739",11.33,3481
20260430,3,"5,001-10,000","87,292","682,144,865",8.53,3481
20260430,4,"10,001-15,000","26,805","338,483,848",4.23,3481
20260430,5,"15,001-20,000","19,850","359,213,301",4.49,3481
20260430,6,"20,001-30,000","15,708","398,767,612",4.99,3481
20260430,7,"30,001-40,000","7,998","284,024,724",3.55,3481
20260430,8,"40,001-50,000","4,951","228,929,398",2.86,3481
20260430,9,"50,001-100,000","8,558","613,400,239",7.67,3481
20260430,10,"100,001-200,000","3,407","477,275,997",5.97,3481
20260430,11,"200,001-400,000","1,405","392,312,846",4.91,3481
20260430,12,"400,001-600,000",396,"192,611,905",2.41,3481
20260430,13,"600,001-800,000",186,"129,653,689",1.62,3481
20260430,14,"800,001-1,000,000",106,"94,371,243",1.18,3481
20260430,15,"1,000,001以上",455,"2,830,759,466",35.43,3481
20260430,16,合　計,"763,821","7,989,197,337",100.00,3481
20260424,1,1-999,"195,610","62,352,905",0.78,3481
20260424,2,"1,000-5,000","393,180","904,278,160",11.31,3481
20260424,3,"5,001-10,000","86,123","672,955,985",8.42,3481
20260424,4,"10,001-15,000","26,571","335,711,638",4.20,3481
20260424,5,"15,001-20,000","19,538","353,397,775",4.42,3481
20260424,6,"20,001-30,000","15,481","392,456,247",4.91,3481
20260424,7,"30,001-40,000","7,853","278,805,288",3.48,3481
20260424,8,"40,001-50,000","4,873","225,275,230",2.81,3481
20260424,9,"50,001-100,000","8,477","608,119,130",7.61,3481
20260424,10,"100,001-200,000","3,383","474,589,180",5.94,3481
20260424,11,"200,001-400,000","1,392","388,219,568",4.85,3481
20260424,12,"400,001-600,000",400,"194,276,864",2.43,3481
20260424,13,"600,001-800,000",186,"129,999,962",1.62,3481
20260424,14,"800,001-1,000,000",107,"95,386,085",1.19,3481
20260424,15,"1,000,001以上",453,"2,873,621,320",35.96,3481
20260424,16,差異數調整（說明4）,,"-248,000",-0.00,3481
20260424,17,合　計,"763,627","7,989,197,337",100.00,3481
20260417,1,1-999,"197,935","63,018,701",0.78,3481
20260417,2,"1,000-5,000","391,957","893,131,560",11.17,3481
20260417,3,"5,001-10,000","83,049","649,539,163",8.13,3481
20260417,4,"10,001-15,000","25,282","318,772,509",3.99,3481
20260417,5,"15,001-20,000","18,788","339,505,054",4.24,3481
20260417,6,"20,001-30,000","14,680","372,197,206",4.65,3481
20260417,7,"30,001-40,000","7,524","267,043,037",3.34,3481
20260417,8,"40,001-50,000","4,650","214,975,350",2.69,3481
20260417,9,"50,001-100,000","8,196","587,905,788",7.35,3481
20260417,10,"100,001-200,000","3,266","456,069,760",5.70,3481
20260417,11,"200,001-400,000","1,337","372,981,245",4.66,3481
20260417,12,"400,001-600,000",389,"187,102,558",2.34,3481
20260417,13,"600,001-800,000",178,"124,409,262",1.55,3481
20260417,14,"800,001-1,000,000",99,"87,873,569",1.09,3481
20260417,15,"1,000,001以上",460,"3,054,729,575",38.23,3481
20260417,16,差異數調整（說明4）,,"-57,000",-0.00,3481
20260417,17,合　計,"757,790","7,989,197,337",100.00,3481
20260410,1,1-999,"199,507","63,743,903",0.79,3481
20260410,2,"1,000-5,000","401,819","917,102,868",11.47,3481
20260410,3,"5,001-10,000","85,156","665,645,011",8.33,3481
20260410,4,"10,001-15,000","25,887","326,374,767",4.08,3481
20260410,5,"15,001-20,000","19,076","344,912,735",4.31,3481
20260410,6,"20,001-30,000","14,967","379,074,639",4.74,3481
20260410,7,"30,001-40,000","7,556","268,215,883",3.35,3481
20260410,8,"40,001-50,000","4,679","216,176,029",2.70,3481
20260410,9,"50,001-100,000","8,148","585,285,861",7.32,3481
20260410,10,"100,001-200,000","3,214","448,853,188",5.61,3481
20260410,11,"200,001-400,000","1,293","360,707,930",4.51,3481
20260410,12,"400,001-600,000",387,"188,103,292",2.35,3481
20260410,13,"600,001-800,000",189,"131,847,330",1.65,3481
20260410,14,"800,001-1,000,000",97,"85,955,018",1.07,3481
20260410,15,"1,000,001以上",450,"3,007,227,841",37.64,3481
20260410,16,差異數調整（說明4）,,"-28,958",-0.00,3481
20260410,17,合　計,"772,425","7,989,197,337",100.00,3481
20260402,1,1-999,"200,636","64,182,470",0.80,3481
20260402,2,"1,000-5,000","411,403","940,578,606",11.77,3481
20260402,3,"5,001-10,000","87,224","681,030,642",8.52,3481
20260402,4,"10,001-15,000","26,561","335,098,979",4.19,3481
20260402,5,"15,001-20,000","19,653","355,294,531",4.44,3481
20260402,6,"20,001-30,000","15,304","387,539,262",4.85,3481
20260402,7,"30,001-40,000","7,665","271,998,033",3.40,3481
20260402,8,"40,001-50,000","4,830","222,861,163",2.78,3481
20260402,9,"50,001-100,000","8,276","591,958,580",7.40,3481
20260402,10,"100,001-200,000","3,313","462,709,288",5.79,3481
20260402,11,"200,001-400,000","1,295","359,743,258",4.50,3481
20260402,12,"400,001-600,000",374,"180,978,833",2.26,3481
20260402,13,"600,001-800,000",186,"129,989,610",1.62,3481
20260402,14,"800,001-1,000,000",99,"88,261,753",1.10,3481
20260402,15,"1,000,001以上",452,"2,917,052,329",36.51,3481
20260402,16,差異數調整（說明4）,,"-80,000",-0.00,3481
20260402,17,合　計,"787,271","7,989,197,337",100.00,3481
20260327,1,1-999,"202,770","64,962,196",0.81,3481
20260327,2,"1,000-5,000","411,956","938,251,478",11.74,3481
20260327,3,"5,001-10,000","86,159","673,346,118",8.42,3481
20260327,4,"10,001-15,000","26,148","330,049,180",4.13,3481
20260327,5,"15,001-20,000","19,424","351,208,626",4.39,3481
20260327,6,"20,001-30,000","14,987","379,668,036",4.75,3481
20260327,7,"30,001-40,000","7,616","270,340,927",3.38,3481
20260327,8,"40,001-50,000","4,720","217,804,288",2.72,3481
20260327,9,"50,001-100,000","8,106","581,381,336",7.27,3481
20260327,10,"100,001-200,000","3,199","447,827,313",5.60,3481
20260327,11,"200,001-400,000","1,284","357,534,831",4.47,3481
20260327,12,"400,001-600,000",358,"173,478,831",2.17,3481
20260327,13,"600,001-800,000",184,"128,908,865",1.61,3481
20260327,14,"800,001-1,000,000",95,"84,944,329",1.06,3481
20260327,15,"1,000,001以上",448,"2,989,496,070",37.41,3481
20260327,16,差異數調整（說明4）,,"-5,087",-0.00,3481
20260327,17,合　計,"787,454","7,989,197,337",100.00,3481
20260320,1,1-999,"199,415","65,238,787",0.81,3481
20260320,2,"1,000-5,000","401,190","907,775,735",11.36,3481
20260320,3,"5,001-10,000","82,192","643,119,206",8.04,3481
20260320,4,"10,001-15,000","24,774","312,518,242",3.91,3481
20260320,5,"15,001-20,000","18,724","338,036,985",4.23,3481
20260320,6,"20,001-30,000","14,370","364,025,366",4.55,3481
20260320,7,"30,001-40,000","7,356","260,699,450",3.26,3481
20260320,8,"40,001-50,000","4,626","213,756,761",2.67,3481
20260320,9,"50,001-100,000","7,930","569,438,589",7.12,3481
20260320,10,"100,001-200,000","3,112","436,453,221",5.46,3481
20260320,11,"200,001-400,000","1,272","355,130,736",4.44,3481
20260320,12,"400,001-600,000",368,"178,056,590",2.22,3481
20260320,13,"600,001-800,000",183,"128,212,371",1.60,3481
20260320,14,"800,001-1,000,000",102,"92,121,454",1.15,3481
20260320,15,"1,000,001以上",458,"3,124,613,844",39.11,3481
20260320,16,合　計,"766,072","7,989,197,337",100.00,3481
20260313,1,1-999,"193,492","65,720,305",0.82,3481
20260313,2,"1,000-5,000","337,557","757,591,681",9.48,3481
20260313,3,"5,001-10,000","69,863","544,194,177",6.81,3481
20260313,4,"10,001-15,000","20,641","258,929,001",3.24,3481
20260313,5,"15,001-20,000","15,997","286,731,508",3.58,3481
20260313,6,"20,001-30,000","12,607","318,642,904",3.98,3481
20260313,7,"30,001-40,000","6,527","230,161,533",2.88,3481
20260313,8,"40,001-50,000","4,112","189,807,870",2.37,3481
20260313,9,"50,001-100,000","7,269","522,354,648",6.53,3481
20260313,10,"100,001-200,000","2,945","412,818,504",5.16,3481
20260313,11,"200,001-400,000","1,231","345,612,216",4.32,3481
20260313,12,"400,001-600,000",375,"181,586,193",2.27,3481
20260313,13,"600,001-800,000",181,"126,616,291",1.58,3481
20260313,14,"800,001-1,000,000",109,"98,591,137",1.23,3481
20260313,15,"1,000,001以上",478,"3,650,034,630",45.68,3481
20260313,16,差異數調整（說明4）,,"-195,261",-0.00,3481
20260313,17,合　計,"673,384","7,989,197,337",100.00,3481
20260306,1,1-999,"185,750","65,690,634",0.82,3481
20260306,2,"1,000-5,000","366,970","844,883,624",10.57,3481
20260306,3,"5,001-10,000","80,741","628,287,036",7.86,3481
20260306,4,"10,001-15,000","24,710","310,060,747",3.88,3481
20260306,5,"15,001-20,000","18,879","338,464,695",4.23,3481
20260306,6,"20,001-30,000","14,694","371,153,038",4.64,3481
20260306,7,"30,001-40,000","7,577","267,974,131",3.35,3481
20260306,8,"40,001-50,000","4,590","211,565,031",2.64,3481
20260306,9,"50,001-100,000","8,148","583,302,363",7.30,3481
20260306,10,"100,001-200,000","3,345","468,364,942",5.86,3481
20260306,11,"200,001-400,000","1,300","364,030,859",4.55,3481
20260306,12,"400,001-600,000",412,"199,307,328",2.49,3481
20260306,13,"600,001-800,000",180,"125,693,902",1.57,3481
20260306,14,"800,001-1,000,000",120,"108,362,235",1.35,3481
