date,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%),stock_id
20260529,1,1-999,"45,012","2,155,507",0.81,5425
20260529,2,"1,000-5,000","25,912","46,543,789",17.66,5425
20260529,3,"5,001-10,000","2,279","18,217,792",6.91,5425
20260529,4,"10,001-15,000",564,"7,300,434",2.77,5425
20260529,5,"15,001-20,000",380,"7,076,680",2.68,5425
20260529,6,"20,001-30,000",275,"7,078,540",2.68,5425
20260529,7,"30,001-40,000",131,"4,749,409",1.80,5425
20260529,8,"40,001-50,000",90,"4,234,096",1.60,5425
20260529,9,"50,001-100,000",145,"10,392,552",3.94,5425
20260529,10,"100,001-200,000",65,"9,239,623",3.50,5425
20260529,11,"200,001-400,000",33,"8,798,740",3.33,5425
20260529,12,"400,001-600,000",12,"5,900,580",2.23,5425
20260529,13,"600,001-800,000",10,"6,982,000",2.64,5425
20260529,14,"800,001-1,000,000",4,"3,731,560",1.41,5425
20260529,15,"1,000,001以上",31,"121,085,184",45.95,5425
20260529,16,差異數調整（說明4）,,"-1,000",-0.00,5425
20260529,17,合　計,"74,943","263,485,486",100.00,5425
20260522,1,1-999,"42,739","1,726,053",0.65,5425
20260522,2,"1,000-5,000","26,977","50,115,641",19.02,5425
20260522,3,"5,001-10,000","2,596","20,571,695",7.80,5425
20260522,4,"10,001-15,000",698,"9,038,164",3.43,5425
20260522,5,"15,001-20,000",419,"7,787,947",2.95,5425
20260522,6,"20,001-30,000",342,"8,795,695",3.33,5425
20260522,7,"30,001-40,000",176,"6,377,010",2.42,5425
20260522,8,"40,001-50,000",108,"5,038,378",1.91,5425
20260522,9,"50,001-100,000",172,"12,203,249",4.63,5425
20260522,10,"100,001-200,000",79,"11,195,377",4.24,5425
20260522,11,"200,001-400,000",31,"8,336,759",3.16,5425
20260522,12,"400,001-600,000",9,"4,509,310",1.71,5425
20260522,13,"600,001-800,000",10,"6,768,000",2.56,5425
20260522,14,"800,001-1,000,000",3,"2,794,560",1.06,5425
20260522,15,"1,000,001以上",33,"108,237,648",41.07,5425
20260522,16,差異數調整（說明4）,,"-10,000",-0.00,5425
20260522,17,合　計,"74,392","263,485,486",100.00,5425
20260515,1,1-999,"42,137","1,684,144",0.63,5425
20260515,2,"1,000-5,000","29,086","56,220,246",21.33,5425
20260515,3,"5,001-10,000","3,236","25,578,490",9.70,5425
20260515,4,"10,001-15,000",842,"10,915,353",4.14,5425
20260515,5,"15,001-20,000",526,"9,804,242",3.72,5425
20260515,6,"20,001-30,000",398,"10,290,501",3.90,5425
20260515,7,"30,001-40,000",189,"6,790,032",2.57,5425
20260515,8,"40,001-50,000",117,"5,425,513",2.05,5425
20260515,9,"50,001-100,000",197,"13,882,949",5.26,5425
20260515,10,"100,001-200,000",89,"12,443,719",4.72,5425
20260515,11,"200,001-400,000",33,"8,728,334",3.31,5425
20260515,12,"400,001-600,000",7,"3,248,360",1.23,5425
20260515,13,"600,001-800,000",11,"7,467,778",2.83,5425
20260515,14,"800,001-1,000,000",6,"5,418,064",2.05,5425
20260515,15,"1,000,001以上",24,"85,588,761",32.48,5425
20260515,16,差異數調整（說明4）,,"-1,000",-0.00,5425
20260515,17,合　計,"76,898","263,485,486",100.00,5425
20260508,1,1-999,"41,331","1,525,598",0.57,5425
20260508,2,"1,000-5,000","27,583","54,196,596",20.56,5425
20260508,3,"5,001-10,000","3,280","25,891,625",9.82,5425
20260508,4,"10,001-15,000",848,"11,012,258",4.17,5425
20260508,5,"15,001-20,000",538,"9,996,098",3.79,5425
20260508,6,"20,001-30,000",410,"10,610,409",4.02,5425
20260508,7,"30,001-40,000",186,"6,670,423",2.53,5425
20260508,8,"40,001-50,000",125,"5,851,676",2.22,5425
20260508,9,"50,001-100,000",194,"14,103,670",5.35,5425
20260508,10,"100,001-200,000",91,"12,899,719",4.89,5425
20260508,11,"200,001-400,000",28,"7,738,334",2.93,5425
20260508,12,"400,001-600,000",6,"3,070,162",1.16,5425
20260508,13,"600,001-800,000",9,"5,987,000",2.27,5425
20260508,14,"800,001-1,000,000",5,"4,445,180",1.68,5425
20260508,15,"1,000,001以上",25,"89,488,738",33.96,5425
20260508,16,差異數調整（說明4）,,"-2,000",-0.00,5425
20260508,17,合　計,"74,659","263,485,486",100.00,5425
20260430,1,1-999,"41,483","1,569,587",0.59,5425
20260430,2,"1,000-5,000","28,653","56,316,994",21.37,5425
20260430,3,"5,001-10,000","3,396","26,827,894",10.18,5425
20260430,4,"10,001-15,000",880,"11,395,288",4.32,5425
20260430,5,"15,001-20,000",557,"10,354,803",3.92,5425
20260430,6,"20,001-30,000",420,"10,888,939",4.13,5425
20260430,7,"30,001-40,000",187,"6,698,082",2.54,5425
20260430,8,"40,001-50,000",123,"5,728,539",2.17,5425
20260430,9,"50,001-100,000",179,"12,756,206",4.84,5425
20260430,10,"100,001-200,000",92,"12,751,128",4.83,5425
