date,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%),stock_id
20260703,1,1-999,"66,898","7,547,362",2.89,3035
20260703,2,"1,000-5,000","43,363","77,905,879",29.90,3035
20260703,3,"5,001-10,000","3,652","27,282,610",10.47,3035
20260703,4,"10,001-15,000",942,"11,907,268",4.57,3035
20260703,5,"15,001-20,000",446,"8,121,215",3.11,3035
20260703,6,"20,001-30,000",383,"9,715,783",3.72,3035
20260703,7,"30,001-40,000",158,"5,638,885",2.16,3035
20260703,8,"40,001-50,000",88,"4,034,505",1.54,3035
20260703,9,"50,001-100,000",156,"10,704,340",4.10,3035
20260703,10,"100,001-200,000",63,"8,752,446",3.35,3035
20260703,11,"200,001-400,000",30,"8,840,845",3.39,3035
20260703,12,"400,001-600,000",8,"4,041,590",1.55,3035
20260703,13,"600,001-800,000",6,"3,924,222",1.50,3035
20260703,14,"800,001-1,000,000",5,"4,392,065",1.68,3035
20260703,15,"1,000,001以上",17,"67,741,298",25.99,3035
20260703,16,合　計,"116,215","260,550,313",100.00,3035
20260626,1,1-999,"66,829","7,491,664",2.87,3035
20260626,2,"1,000-5,000","43,244","77,534,708",29.75,3035
20260626,3,"5,001-10,000","3,619","27,108,935",10.40,3035
20260626,4,"10,001-15,000",930,"11,746,298",4.50,3035
20260626,5,"15,001-20,000",437,"7,959,713",3.05,3035
20260626,6,"20,001-30,000",370,"9,385,636",3.60,3035
20260626,7,"30,001-40,000",157,"5,557,247",2.13,3035
20260626,8,"40,001-50,000",85,"3,915,988",1.50,3035
20260626,9,"50,001-100,000",145,"10,052,402",3.85,3035
20260626,10,"100,001-200,000",61,"8,414,710",3.22,3035
20260626,11,"200,001-400,000",24,"6,779,531",2.60,3035
20260626,12,"400,001-600,000",10,"4,881,620",1.87,3035
20260626,13,"600,001-800,000",7,"4,600,970",1.76,3035
20260626,14,"800,001-1,000,000",5,"4,620,532",1.77,3035
20260626,15,"1,000,001以上",18,"70,501,359",27.05,3035
20260626,16,差異數調整（說明4）,,"-1,000",-0.00,3035
20260626,17,合　計,"115,941","260,550,313",100.00,3035
20260618,1,1-999,"67,138","7,785,331",2.98,3035
20260618,2,"1,000-5,000","45,148","81,586,259",31.31,3035
20260618,3,"5,001-10,000","3,879","28,959,376",11.11,3035
20260618,4,"10,001-15,000",998,"12,584,665",4.83,3035
20260618,5,"15,001-20,000",475,"8,629,151",3.31,3035
20260618,6,"20,001-30,000",387,"9,789,835",3.75,3035
20260618,7,"30,001-40,000",173,"6,152,301",2.36,3035
20260618,8,"40,001-50,000",84,"3,827,781",1.46,3035
20260618,9,"50,001-100,000",152,"10,468,063",4.01,3035
20260618,10,"100,001-200,000",52,"7,129,905",2.73,3035
20260618,11,"200,001-400,000",21,"5,987,604",2.29,3035
20260618,12,"400,001-600,000",11,"5,062,310",1.94,3035
20260618,13,"600,001-800,000",8,"5,764,224",2.21,3035
20260618,14,"800,001-1,000,000",6,"5,318,071",2.04,3035
20260618,15,"1,000,001以上",12,"61,505,437",23.60,3035
20260618,16,合　計,"118,544","260,550,313",100.00,3035
20260612,1,1-999,"67,961","8,018,812",3.07,3035
20260612,2,"1,000-5,000","46,361","84,365,384",32.37,3035
20260612,3,"5,001-10,000","3,989","29,865,442",11.46,3035
20260612,4,"10,001-15,000","1,042","13,173,470",5.05,3035
20260612,5,"15,001-20,000",479,"8,711,963",3.34,3035
20260612,6,"20,001-30,000",401,"10,167,475",3.90,3035
20260612,7,"30,001-40,000",174,"6,188,554",2.37,3035
20260612,8,"40,001-50,000",86,"3,916,481",1.50,3035
20260612,9,"50,001-100,000",151,"10,457,279",4.01,3035
20260612,10,"100,001-200,000",52,"7,224,938",2.77,3035
20260612,11,"200,001-400,000",25,"6,923,816",2.65,3035
20260612,12,"400,001-600,000",8,"3,671,128",1.40,3035
20260612,13,"600,001-800,000",5,"3,348,935",1.28,3035
20260612,14,"800,001-1,000,000",6,"5,315,482",2.04,3035
20260612,15,"1,000,001以上",12,"59,211,154",22.72,3035
20260612,16,差異數調整（說明4）,,"-10,000",-0.00,3035
20260612,17,合　計,"120,752","260,550,313",100.00,3035
20260605,1,1-999,"68,018","7,922,620",3.04,3035
20260605,2,"1,000-5,000","46,373","84,014,981",32.24,3035
20260605,3,"5,001-10,000","3,975","29,830,293",11.44,3035
20260605,4,"10,001-15,000","1,045","13,122,656",5.03,3035
20260605,5,"15,001-20,000",490,"8,916,201",3.42,3035
20260605,6,"20,001-30,000",397,"10,069,608",3.86,3035
20260605,7,"30,001-40,000",163,"5,747,070",2.20,3035
20260605,8,"40,001-50,000",92,"4,226,562",1.62,3035
20260605,9,"50,001-100,000",163,"11,268,802",4.32,3035
20260605,10,"100,001-200,000",56,"7,701,936",2.95,3035
