date,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%),stock_id
20260703,1,1-999,"34,745","855,165",0.74,6226
20260703,2,"1,000-5,000","14,174","28,039,046",24.26,6226
20260703,3,"5,001-10,000","1,632","13,972,899",12.09,6226
20260703,4,"10,001-15,000",315,"4,052,613",3.5,6226
20260703,5,"15,001-20,000",287,"5,454,477",4.72,6226
20260703,6,"20,001-30,000",207,"5,389,709",4.66,6226
20260703,7,"30,001-40,000",91,"3,345,216",2.89,6226
20260703,8,"40,001-50,000",69,"3,313,719",2.86,6226
20260703,9,"50,001-100,000",96,"6,997,185",6.05,6226
20260703,10,"100,001-200,000",49,"6,962,863",6.02,6226
20260703,11,"200,001-400,000",12,"3,396,208",2.93,6226
20260703,12,"400,001-600,000",9,"4,312,204",3.73,6226
20260703,13,"600,001-800,000",3,"2,209,130",1.91,6226
20260703,14,"800,001-1,000,000",2,"1,754,174",1.51,6226
20260703,15,"1,000,001以上",11,"25,480,181",22.05,6226
20260703,16,合　計,"51,702","115,534,789",100.0,6226
20260626,1,1-999,"34,010","706,691",0.61,6226
20260626,2,"1,000-5,000","9,635","20,463,950",17.71,6226
20260626,3,"5,001-10,000","1,541","12,943,316",11.2,6226
20260626,4,"10,001-15,000",352,"4,539,881",3.92,6226
20260626,5,"15,001-20,000",318,"6,006,168",5.19,6226
20260626,6,"20,001-30,000",228,"5,979,019",5.17,6226
20260626,7,"30,001-40,000",121,"4,397,190",3.8,6226
20260626,8,"40,001-50,000",65,"3,100,871",2.68,6226
20260626,9,"50,001-100,000",113,"8,382,263",7.25,6226
20260626,10,"100,001-200,000",51,"7,172,706",6.2,6226
20260626,11,"200,001-400,000",26,"7,532,411",6.51,6226
20260626,12,"400,001-600,000",9,"4,266,754",3.69,6226
20260626,13,"600,001-800,000",4,"2,900,352",2.51,6226
20260626,14,"800,001-1,000,000",3,"2,885,912",2.49,6226
20260626,15,"1,000,001以上",11,"24,257,305",20.99,6226
20260626,16,合　計,"46,487","115,534,789",100.0,6226
20260618,1,1-999,"34,150","718,297",0.62,6226
20260618,2,"1,000-5,000","10,043","21,642,492",18.73,6226
20260618,3,"5,001-10,000","1,662","13,806,979",11.95,6226
20260618,4,"10,001-15,000",415,"5,368,983",4.64,6226
20260618,5,"15,001-20,000",360,"6,815,112",5.89,6226
20260618,6,"20,001-30,000",247,"6,398,525",5.53,6226
20260618,7,"30,001-40,000",126,"4,585,278",3.96,6226
20260618,8,"40,001-50,000",66,"3,127,801",2.7,6226
20260618,9,"50,001-100,000",119,"8,814,024",7.62,6226
20260618,10,"100,001-200,000",57,"8,042,776",6.96,6226
20260618,11,"200,001-400,000",22,"6,411,633",5.54,6226
20260618,12,"400,001-600,000",7,"3,280,254",2.83,6226
20260618,13,"600,001-800,000",5,"3,770,352",3.26,6226
20260618,14,"800,001-1,000,000",3,"2,625,978",2.27,6226
20260618,15,"1,000,001以上",9,"20,126,305",17.42,6226
20260618,16,合　計,"47,291","115,534,789",100.0,6226
20260612,1,1-999,"34,189","721,354",0.62,6226
20260612,2,"1,000-5,000","10,154","21,852,746",18.91,6226
20260612,3,"5,001-10,000","1,664","13,824,172",11.96,6226
20260612,4,"10,001-15,000",409,"5,290,470",4.57,6226
20260612,5,"15,001-20,000",366,"6,900,716",5.97,6226
20260612,6,"20,001-30,000",246,"6,371,627",5.51,6226
20260612,7,"30,001-40,000",129,"4,694,256",4.06,6226
20260612,8,"40,001-50,000",69,"3,272,191",2.83,6226
20260612,9,"50,001-100,000",125,"9,245,114",8.0,6226
20260612,10,"100,001-200,000",54,"7,639,686",6.61,6226
