date,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%),stock_id
20260320,1,1-999,"34,414","657,538",0.37,6179
20260320,2,"1,000-5,000","10,335","20,203,281",11.39,6179
20260320,3,"5,001-10,000","1,694","13,088,237",7.38,6179
20260320,4,"10,001-15,000",579,"7,397,190",4.17,6179
20260320,5,"15,001-20,000",380,"6,974,980",3.93,6179
20260320,6,"20,001-30,000",324,"8,294,181",4.67,6179
20260320,7,"30,001-40,000",155,"5,409,275",3.05,6179
20260320,8,"40,001-50,000",112,"5,163,719",2.91,6179
20260320,9,"50,001-100,000",191,"13,122,374",7.4,6179
20260320,10,"100,001-200,000",78,"10,497,769",5.92,6179
20260320,11,"200,001-400,000",40,"11,526,125",6.5,6179
20260320,12,"400,001-600,000",15,"7,628,737",4.3,6179
20260320,13,"600,001-800,000",7,"4,969,577",2.8,6179
20260320,14,"800,001-1,000,000",5,"4,635,163",2.61,6179
20260320,15,"1,000,001以上",22,"57,756,504",32.57,6179
20260320,16,合　計,"48,351","177,324,650",100.0,6179
20260313,1,1-999,"32,594","572,063",0.44,6179
20260313,2,"1,000-5,000","8,790","18,494,827",14.52,6179
20260313,3,"5,001-10,000","1,489","11,955,574",9.38,6179
20260313,4,"10,001-15,000",493,"6,383,038",5.01,6179
20260313,5,"15,001-20,000",328,"6,125,801",4.81,6179
20260313,6,"20,001-30,000",283,"7,268,426",5.7,6179
20260313,7,"30,001-40,000",143,"5,068,022",3.98,6179
20260313,8,"40,001-50,000",93,"4,333,905",3.4,6179
20260313,9,"50,001-100,000",144,"10,233,101",8.03,6179
20260313,10,"100,001-200,000",57,"7,635,066",5.99,6179
20260313,11,"200,001-400,000",26,"6,659,366",5.23,6179
20260313,12,"400,001-600,000",13,"6,251,108",4.9,6179
20260313,13,"600,001-800,000",2,"1,396,002",1.09,6179
20260313,14,"800,001-1,000,000",4,"3,675,375",2.88,6179
20260313,15,"1,000,001以上",10,"31,272,976",24.56,6179
20260313,16,合　計,"44,469","127,324,650",100.0,6179
20260306,1,1-999,"31,571","550,199",0.43,6179
20260306,2,"1,000-5,000","8,683","18,237,693",14.32,6179
20260306,3,"5,001-10,000","1,477","11,835,178",9.29,6179
20260306,4,"10,001-15,000",483,"6,248,763",4.9,6179
20260306,5,"15,001-20,000",313,"5,840,941",4.58,6179
20260306,6,"20,001-30,000",287,"7,362,604",5.78,6179
20260306,7,"30,001-40,000",144,"5,093,486",4.0,6179
20260306,8,"40,001-50,000",92,"4,257,036",3.34,6179
20260306,9,"50,001-100,000",149,"10,275,370",8.07,6179
20260306,10,"100,001-200,000",60,"7,980,818",6.26,6179
20260306,11,"200,001-400,000",30,"7,790,408",6.11,6179
20260306,12,"400,001-600,000",9,"4,343,200",3.41,6179
20260306,13,"600,001-800,000",4,"2,792,695",2.19,6179
20260306,14,"800,001-1,000,000",4,"3,721,076",2.92,6179
20260306,15,"1,000,001以上",9,"30,995,183",24.34,6179
20260306,16,合　計,"43,315","127,324,650",100.0,6179
20260226,1,1-999,"30,683","539,616",0.42,6179
20260226,2,"1,000-5,000","8,449","17,747,124",13.93,6179
20260226,3,"5,001-10,000","1,450","11,664,654",9.16,6179
20260226,4,"10,001-15,000",461,"5,979,356",4.69,6179
20260226,5,"15,001-20,000",295,"5,501,715",4.32,6179
20260226,6,"20,001-30,000",288,"7,427,672",5.83,6179
20260226,7,"30,001-40,000",141,"5,005,481",3.93,6179
20260226,8,"40,001-50,000",88,"4,101,539",3.22,6179
20260226,9,"50,001-100,000",149,"10,476,039",8.22,6179
20260226,10,"100,001-200,000",67,"9,182,168",7.21,6179
20260226,11,"200,001-400,000",24,"6,182,455",4.85,6179
20260226,12,"400,001-600,000",12,"5,704,039",4.47,6179
20260226,13,"600,001-800,000",5,"3,458,537",2.71,6179
20260226,14,"800,001-1,000,000",5,"4,523,076",3.55,6179
20260226,15,"1,000,001以上",9,"29,831,179",23.42,6179
20260226,16,合　計,"42,126","127,324,650",100.0,6179
20260213,1,1-999,"30,376","537,482",0.42,6179
20260213,2,"1,000-5,000","8,515","17,943,569",14.09,6179
20260213,3,"5,001-10,000","1,415","11,399,157",8.95,6179
20260213,4,"10,001-15,000",440,"5,708,936",4.48,6179
20260213,5,"15,001-20,000",294,"5,487,395",4.3,6179
20260213,6,"20,001-30,000",281,"7,242,312",5.68,6179
20260213,7,"30,001-40,000",132,"4,670,376",3.66,6179
20260213,8,"40,001-50,000",86,"3,991,605",3.13,6179
20260213,9,"50,001-100,000",144,"10,137,121",7.96,6179
20260213,10,"100,001-200,000",63,"8,558,717",6.72,6179
20260213,11,"200,001-400,000",26,"6,988,699",5.48,6179
20260213,12,"400,001-600,000",12,"5,747,212",4.51,6179
20260213,13,"600,001-800,000",4,"2,794,002",2.19,6179
20260213,14,"800,001-1,000,000",5,"4,589,611",3.6,6179
20260213,15,"1,000,001以上",10,"31,528,456",24.76,6179
20260213,16,合　計,"41,803","127,324,650",100.0,6179
20260206,1,1-999,"30,076","538,640",0.42,6179
20260206,2,"1,000-5,000","8,524","17,934,774",14.08,6179
20260206,3,"5,001-10,000","1,415","11,383,352",8.94,6179
20260206,4,"10,001-15,000",442,"5,732,633",4.5,6179
20260206,5,"15,001-20,000",292,"5,435,364",4.26,6179
20260206,6,"20,001-30,000",274,"7,064,687",5.54,6179
20260206,7,"30,001-40,000",131,"4,634,389",3.63,6179
20260206,8,"40,001-50,000",82,"3,810,838",2.99,6179
20260206,9,"50,001-100,000",148,"10,532,888",8.27,6179
20260206,10,"100,001-200,000",61,"8,372,717",6.57,6179
20260206,11,"200,001-400,000",24,"6,449,699",5.06,6179
20260206,12,"400,001-600,000",12,"5,755,741",4.52,6179
20260206,13,"600,001-800,000",5,"3,478,650",2.73,6179
20260206,14,"800,001-1,000,000",4,"3,645,535",2.86,6179
20260206,15,"1,000,001以上",11,"32,554,743",25.56,6179
20260206,16,合　計,"41,501","127,324,650",100.0,6179
20260130,1,1-999,"29,802","534,883",0.42,6179
20260130,2,"1,000-5,000","8,506","17,790,884",13.97,6179
20260130,3,"5,001-10,000","1,414","11,330,739",8.89,6179
20260130,4,"10,001-15,000",426,"5,507,138",4.32,6179
20260130,5,"15,001-20,000",278,"5,163,110",4.05,6179
20260130,6,"20,001-30,000",274,"7,060,520",5.54,6179
20260130,7,"30,001-40,000",120,"4,264,398",3.34,6179
20260130,8,"40,001-50,000",84,"3,917,649",3.07,6179
20260130,9,"50,001-100,000",141,"10,004,347",7.85,6179
20260130,10,"100,001-200,000",61,"8,314,095",6.52,6179
20260130,11,"200,001-400,000",25,"6,580,620",5.16,6179
20260130,12,"400,001-600,000",9,"4,133,546",3.24,6179
20260130,13,"600,001-800,000",5,"3,502,650",2.75,6179
20260130,14,"800,001-1,000,000",5,"4,311,535",3.38,6179
20260130,15,"1,000,001以上",12,"34,908,536",27.41,6179
20260130,16,合　計,"41,162","127,324,650",100.0,6179
20260123,1,1-999,"29,514","536,208",0.42,6179
20260123,2,"1,000-5,000","8,586","17,898,388",14.05,6179
20260123,3,"5,001-10,000","1,396","11,221,532",8.81,6179
20260123,4,"10,001-15,000",427,"5,554,914",4.36,6179
20260123,5,"15,001-20,000",266,"4,932,546",3.87,6179
20260123,6,"20,001-30,000",271,"7,017,021",5.51,6179
20260123,7,"30,001-40,000",120,"4,261,548",3.34,6179
20260123,8,"40,001-50,000",81,"3,780,469",2.96,6179
20260123,9,"50,001-100,000",136,"9,603,341",7.54,6179
20260123,10,"100,001-200,000",67,"9,372,132",7.36,6179
20260123,11,"200,001-400,000",22,"5,862,620",4.6,6179
20260123,12,"400,001-600,000",9,"4,182,316",3.28,6179
20260123,13,"600,001-800,000",5,"3,526,650",2.76,6179
20260123,14,"800,001-1,000,000",6,"5,455,611",4.28,6179
20260123,15,"1,000,001以上",11,"34,119,354",26.79,6179
20260123,16,合　計,"40,917","127,324,650",100.0,6179
