date,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%),stock_id
20260402,1,1-999,213,"54,413",0.94,00883B
20260402,2,"1,000-5,000",276,"582,903",10.12,00883B
20260402,3,"5,001-10,000",48,"356,897",6.19,00883B
20260402,4,"10,001-15,000",12,"148,213",2.57,00883B
20260402,5,"15,001-20,000",10,"185,942",3.22,00883B
20260402,6,"20,001-30,000",5,"120,909",2.09,00883B
20260402,7,"30,001-40,000",3,"110,000",1.91,00883B
20260402,8,"40,001-50,000",2,"96,000",1.66,00883B
20260402,9,"50,001-100,000",2,"130,000",2.25,00883B
20260402,10,"100,001-200,000",2,"386,933",6.71,00883B
20260402,11,"200,001-400,000",1,"372,000",6.46,00883B
20260402,12,"400,001-600,000",2,"1,000,000",17.36,00883B
20260402,13,"600,001-800,000",2,"1,355,244",23.53,00883B
20260402,14,"800,001-1,000,000",1,"858,546",14.91,00883B
20260402,15,"1,000,001以上",0,0,0.00,00883B
20260402,16,合　計,579,"5,758,000",100.00,00883B
20260327,1,1-999,217,"55,001",0.95,00883B
20260327,2,"1,000-5,000",297,"639,017",11.09,00883B
20260327,3,"5,001-10,000",49,"366,131",6.35,00883B
20260327,4,"10,001-15,000",12,"147,820",2.56,00883B
20260327,5,"15,001-20,000",9,"168,942",2.93,00883B
20260327,6,"20,001-30,000",8,"195,909",3.40,00883B
20260327,7,"30,001-40,000",4,"149,000",2.58,00883B
20260327,8,"40,001-50,000",2,"96,000",1.66,00883B
20260327,9,"50,001-100,000",2,"116,000",2.01,00883B
20260327,10,"100,001-200,000",1,"187,000",3.24,00883B
20260327,11,"200,001-400,000",1,"247,879",4.30,00883B
20260327,12,"400,001-600,000",2,"1,000,000",17.36,00883B
20260327,13,"600,001-800,000",1,"723,000",12.55,00883B
20260327,14,"800,001-1,000,000",2,"1,666,301",28.93,00883B
20260327,15,"1,000,001以上",0,0,0.00,00883B
20260327,16,合　計,607,"5,758,000",100.00,00883B
20260320,1,1-999,217,"54,958",0.95,00883B
20260320,2,"1,000-5,000",299,"640,772",11.12,00883B
20260320,3,"5,001-10,000",49,"365,983",6.35,00883B
20260320,4,"10,001-15,000",12,"148,033",2.57,00883B
20260320,5,"15,001-20,000",8,"151,000",2.62,00883B
20260320,6,"20,001-30,000",10,"251,794",4.37,00883B
20260320,7,"30,001-40,000",2,"73,000",1.26,00883B
20260320,8,"40,001-50,000",2,"96,000",1.66,00883B
20260320,9,"50,001-100,000",2,"149,000",2.58,00883B
20260320,10,"100,001-200,000",1,"114,000",1.97,00883B
20260320,11,"200,001-400,000",2,"461,048",8.00,00883B
20260320,12,"400,001-600,000",2,"1,000,000",17.36,00883B
20260320,13,"600,001-800,000",2,"1,395,970",24.24,00883B
20260320,14,"800,001-1,000,000",1,"856,442",14.87,00883B
20260320,15,"1,000,001以上",0,0,0.00,00883B
20260320,16,合　計,609,"5,758,000",100.00,00883B
20260313,1,1-999,220,"56,723",0.98,00883B
20260313,2,"1,000-5,000",301,"651,094",11.30,00883B
20260313,3,"5,001-10,000",48,"360,618",6.26,00883B
20260313,4,"10,001-15,000",12,"147,820",2.56,00883B
20260313,5,"15,001-20,000",8,"151,000",2.62,00883B
20260313,6,"20,001-30,000",10,"246,151",4.27,00883B
20260313,7,"30,001-40,000",2,"73,000",1.26,00883B
20260313,8,"40,001-50,000",2,"96,000",1.66,00883B
20260313,9,"50,001-100,000",1,"58,000",1.00,00883B
20260313,10,"100,001-200,000",2,"233,000",4.04,00883B
20260313,11,"200,001-400,000",2,"469,567",8.15,00883B
20260313,12,"400,001-600,000",2,"1,000,000",17.36,00883B
20260313,13,"600,001-800,000",2,"1,362,220",23.65,00883B
20260313,14,"800,001-1,000,000",1,"852,807",14.81,00883B
20260313,15,"1,000,001以上",0,0,0.00,00883B
20260313,16,合　計,613,"5,758,000",100.00,00883B
20260306,1,1-999,225,"58,232",1.01,00883B
20260306,2,"1,000-5,000",305,"660,496",11.47,00883B
20260306,3,"5,001-10,000",49,"369,402",6.41,00883B
20260306,4,"10,001-15,000",12,"147,820",2.56,00883B
20260306,5,"15,001-20,000",8,"150,000",2.60,00883B
20260306,6,"20,001-30,000",9,"221,151",3.84,00883B
20260306,7,"30,001-40,000",2,"73,000",1.26,00883B
20260306,8,"40,001-50,000",3,"145,000",2.51,00883B
20260306,9,"50,001-100,000",1,"79,000",1.37,00883B
20260306,10,"100,001-200,000",1,"167,000",2.90,00883B
20260306,11,"200,001-400,000",2,"487,530",8.46,00883B
20260306,12,"400,001-600,000",2,"1,000,000",17.36,00883B
20260306,13,"600,001-800,000",2,"1,353,938",23.51,00883B
20260306,14,"800,001-1,000,000",1,"845,431",14.68,00883B
20260306,15,"1,000,001以上",0,0,0.00,00883B
20260306,16,合　計,622,"5,758,000",100.00,00883B
20260226,1,1-999,227,"60,546",1.05,00883B
20260226,2,"1,000-5,000",311,"667,212",11.58,00883B
20260226,3,"5,001-10,000",53,"397,680",6.90,00883B
20260226,4,"10,001-15,000",13,"159,956",2.77,00883B
20260226,5,"15,001-20,000",8,"150,000",2.60,00883B
20260226,6,"20,001-30,000",9,"221,151",3.84,00883B
20260226,7,"30,001-40,000",3,"106,000",1.84,00883B
20260226,8,"40,001-50,000",2,"96,000",1.66,00883B
20260226,9,"50,001-100,000",1,"80,000",1.38,00883B
20260226,10,"100,001-200,000",1,"168,000",2.91,00883B
20260226,11,"200,001-400,000",2,"488,530",8.48,00883B
20260226,12,"400,001-600,000",3,"1,591,000",27.63,00883B
20260226,13,"600,001-800,000",1,"734,396",12.75,00883B
20260226,14,"800,001-1,000,000",1,"837,529",14.54,00883B
20260226,15,"1,000,001以上",0,0,0.00,00883B
20260226,16,合　計,635,"5,758,000",100.00,00883B
20260213,1,1-999,225,"57,295",0.99,00883B
20260213,2,"1,000-5,000",318,"679,933",11.80,00883B
20260213,3,"5,001-10,000",54,"409,928",7.11,00883B
20260213,4,"10,001-15,000",12,"152,305",2.64,00883B
20260213,5,"15,001-20,000",8,"150,000",2.60,00883B
20260213,6,"20,001-30,000",9,"220,516",3.82,00883B
20260213,7,"30,001-40,000",3,"104,000",1.80,00883B
20260213,8,"40,001-50,000",2,"96,000",1.66,00883B
20260213,9,"50,001-100,000",1,"80,000",1.38,00883B
20260213,10,"100,001-200,000",1,"170,000",2.95,00883B
20260213,11,"200,001-400,000",2,"488,896",8.49,00883B
20260213,12,"400,001-600,000",3,"1,579,000",27.42,00883B
20260213,13,"600,001-800,000",1,"735,325",12.77,00883B
20260213,14,"800,001-1,000,000",1,"834,802",14.49,00883B
20260213,15,"1,000,001以上",0,0,0.00,00883B
20260213,16,合　計,640,"5,758,000",100.00,00883B
20260206,1,1-999,222,"55,043",0.95,00883B
20260206,2,"1,000-5,000",321,"688,821",11.96,00883B
20260206,3,"5,001-10,000",53,"399,478",6.93,00883B
20260206,4,"10,001-15,000",13,"167,305",2.90,00883B
20260206,5,"15,001-20,000",8,"150,000",2.60,00883B
20260206,6,"20,001-30,000",9,"220,516",3.82,00883B
20260206,7,"30,001-40,000",3,"109,000",1.89,00883B
20260206,8,"40,001-50,000",2,"96,000",1.66,00883B
20260206,9,"50,001-100,000",2,"157,000",2.72,00883B
20260206,10,"100,001-200,000",0,0,0.00,00883B
20260206,11,"200,001-400,000",2,"479,423",8.32,00883B
20260206,12,"400,001-600,000",3,"1,478,000",25.66,00883B
20260206,13,"600,001-800,000",0,0,0.00,00883B
20260206,14,"800,001-1,000,000",2,"1,757,414",30.52,00883B
20260206,15,"1,000,001以上",0,0,0.00,00883B
20260206,16,合　計,640,"5,758,000",100.00,00883B
20260130,1,1-999,225,"54,796",0.95,00883B
20260130,2,"1,000-5,000",323,"687,056",11.93,00883B
20260130,3,"5,001-10,000",54,"406,635",7.06,00883B
20260130,4,"10,001-15,000",14,"182,305",3.16,00883B
20260130,5,"15,001-20,000",7,"132,000",2.29,00883B
20260130,6,"20,001-30,000",9,"220,516",3.82,00883B
20260130,7,"30,001-40,000",2,"73,000",1.26,00883B
20260130,8,"40,001-50,000",3,"138,000",2.39,00883B
20260130,9,"50,001-100,000",2,"160,000",2.77,00883B
20260130,10,"100,001-200,000",0,0,0.00,00883B
20260130,11,"200,001-400,000",2,"478,664",8.31,00883B
20260130,12,"400,001-600,000",3,"1,471,000",25.54,00883B
20260130,13,"600,001-800,000",0,0,0.00,00883B
20260130,14,"800,001-1,000,000",2,"1,754,028",30.46,00883B
20260130,15,"1,000,001以上",0,0,0.00,00883B
20260130,16,合　計,646,"5,758,000",100.00,00883B
20260123,1,1-999,227,"58,090",1.00,00883B
20260123,2,"1,000-5,000",325,"697,030",12.10,00883B
20260123,3,"5,001-10,000",54,"411,569",7.14,00883B
20260123,4,"10,001-15,000",13,"167,497",2.90,00883B
20260123,5,"15,001-20,000",7,"132,000",2.29,00883B
20260123,6,"20,001-30,000",9,"220,516",3.82,00883B
20260123,7,"30,001-40,000",2,"73,000",1.26,00883B
20260123,8,"40,001-50,000",2,"96,000",1.66,00883B
20260123,9,"50,001-100,000",3,"201,000",3.49,00883B
20260123,10,"100,001-200,000",0,0,0.00,00883B
20260123,11,"200,001-400,000",2,"449,879",7.81,00883B
20260123,12,"400,001-600,000",3,"1,463,000",25.40,00883B
20260123,13,"600,001-800,000",0,0,0.00,00883B
20260123,14,"800,001-1,000,000",2,"1,788,419",31.05,00883B
20260123,15,"1,000,001以上",0,0,0.00,00883B
20260123,16,合　計,649,"5,758,000",100.00,00883B
20260116,1,1-999,231,"58,867",1.02,00883B
20260116,2,"1,000-5,000",327,"704,705",12.23,00883B
20260116,3,"5,001-10,000",53,"410,913",7.13,00883B
20260116,4,"10,001-15,000",13,"167,442",2.90,00883B
20260116,5,"15,001-20,000",7,"132,000",2.29,00883B
20260116,6,"20,001-30,000",9,"219,875",3.81,00883B
20260116,7,"30,001-40,000",2,"73,000",1.26,00883B
20260116,8,"40,001-50,000",2,"96,000",1.66,00883B
20260116,9,"50,001-100,000",3,"222,000",3.85,00883B
20260116,10,"100,001-200,000",0,0,0.00,00883B
20260116,11,"200,001-400,000",2,"446,823",7.76,00883B
20260116,12,"400,001-600,000",3,"1,465,000",25.44,00883B
20260116,13,"600,001-800,000",0,0,0.00,00883B
20260116,14,"800,001-1,000,000",2,"1,761,375",30.59,00883B
20260116,15,"1,000,001以上",0,0,0.00,00883B
20260116,16,合　計,654,"5,758,000",100.00,00883B
20260109,1,1-999,232,"59,769",0.55,00883B
20260109,2,"1,000-5,000",329,"706,527",6.56,00883B
20260109,3,"5,001-10,000",53,"414,913",3.85,00883B
20260109,4,"10,001-15,000",13,"167,450",1.55,00883B
20260109,5,"15,001-20,000",7,"132,000",1.22,00883B
20260109,6,"20,001-30,000",9,"219,875",2.04,00883B
20260109,7,"30,001-40,000",2,"74,000",0.68,00883B
20260109,8,"40,001-50,000",2,"96,000",0.89,00883B
20260109,9,"50,001-100,000",2,"170,000",1.58,00883B
20260109,10,"100,001-200,000",0,0,0.00,00883B
20260109,11,"200,001-400,000",2,"440,937",4.09,00883B
20260109,12,"400,001-600,000",3,"1,460,000",13.57,00883B
20260109,13,"600,001-800,000",0,0,0.00,00883B
20260109,14,"800,001-1,000,000",2,"1,760,529",16.36,00883B
20260109,15,"1,000,001以上",1,"5,056,000",46.99,00883B
20260109,16,合　計,657,"10,758,000",100.00,00883B
20260102,1,1-999,233,"58,545",0.54,00883B
20260102,2,"1,000-5,000",334,"715,971",6.65,00883B
20260102,3,"5,001-10,000",52,"405,516",3.76,00883B
20260102,4,"10,001-15,000",14,"180,768",1.68,00883B
20260102,5,"15,001-20,000",7,"132,000",1.22,00883B
20260102,6,"20,001-30,000",9,"219,875",2.04,00883B
20260102,7,"30,001-40,000",2,"75,000",0.69,00883B
20260102,8,"40,001-50,000",2,"96,000",0.89,00883B
20260102,9,"50,001-100,000",3,"227,000",2.11,00883B
20260102,10,"100,001-200,000",0,0,0.00,00883B
20260102,11,"200,001-400,000",2,"426,180",3.96,00883B
20260102,12,"400,001-600,000",3,"1,461,000",13.58,00883B
20260102,13,"600,001-800,000",0,0,0.00,00883B
20260102,14,"800,001-1,000,000",2,"1,760,145",16.36,00883B
20260102,15,"1,000,001以上",1,"5,000,000",46.47,00883B
20260102,16,合　計,664,"10,758,000",100.00,00883B
20251226,1,1-999,235,"58,210",0.54,00883B
20251226,2,"1,000-5,000",335,"722,290",6.71,00883B
20251226,3,"5,001-10,000",51,"400,288",3.72,00883B
20251226,4,"10,001-15,000",14,"180,833",1.68,00883B
20251226,5,"15,001-20,000",7,"132,000",1.22,00883B
20251226,6,"20,001-30,000",9,"219,875",2.04,00883B
20251226,7,"30,001-40,000",2,"75,000",0.69,00883B
20251226,8,"40,001-50,000",2,"96,000",0.89,00883B
20251226,9,"50,001-100,000",3,"232,000",2.15,00883B
20251226,10,"100,001-200,000",1,"188,413",1.75,00883B
20251226,11,"200,001-400,000",1,"227,000",2.11,00883B
20251226,12,"400,001-600,000",3,"1,458,000",13.55,00883B
20251226,13,"600,001-800,000",0,0,0.00,00883B
20251226,14,"800,001-1,000,000",2,"1,768,091",16.43,00883B
20251226,15,"1,000,001以上",1,"5,000,000",46.47,00883B
20251226,16,合　計,666,"10,758,000",100.00,00883B
20251219,1,1-999,233,"57,349",0.53,00883B
20251219,2,"1,000-5,000",337,"725,046",6.73,00883B
20251219,3,"5,001-10,000",51,"400,063",3.71,00883B
20251219,4,"10,001-15,000",14,"180,844",1.68,00883B
20251219,5,"15,001-20,000",7,"132,000",1.22,00883B
