date,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%),stock_id
20260424,1,1-999,"39,899","1,927,693",0.99,5498
20260424,2,"1,000-5,000","28,106","49,973,312",25.81,5498
20260424,3,"5,001-10,000","2,395","19,063,069",9.84,5498
20260424,4,"10,001-15,000",618,"7,893,544",4.07,5498
20260424,5,"15,001-20,000",397,"7,467,159",3.85,5498
20260424,6,"20,001-30,000",266,"6,758,588",3.49,5498
20260424,7,"30,001-40,000",128,"4,649,215",2.40,5498
20260424,8,"40,001-50,000",68,"3,176,464",1.64,5498
20260424,9,"50,001-100,000",99,"7,042,481",3.63,5498
20260424,10,"100,001-200,000",40,"5,616,609",2.90,5498
20260424,11,"200,001-400,000",22,"6,432,847",3.32,5498
20260424,12,"400,001-600,000",8,"3,997,853",2.06,5498
20260424,13,"600,001-800,000",6,"4,063,254",2.09,5498
20260424,14,"800,001-1,000,000",3,"2,634,642",1.36,5498
20260424,15,"1,000,001以上",13,"62,851,815",32.47,5498
20260424,16,合　計,"72,068","193,548,545",100.00,5498
20260417,1,1-999,"39,176","1,695,714",0.87,5498
20260417,2,"1,000-5,000","24,409","43,585,722",22.51,5498
20260417,3,"5,001-10,000","2,226","17,790,448",9.19,5498
20260417,4,"10,001-15,000",583,"7,473,020",3.86,5498
20260417,5,"15,001-20,000",333,"6,220,345",3.21,5498
20260417,6,"20,001-30,000",246,"6,213,582",3.21,5498
20260417,7,"30,001-40,000",119,"4,297,947",2.22,5498
20260417,8,"40,001-50,000",69,"3,213,317",1.66,5498
20260417,9,"50,001-100,000",109,"7,791,438",4.02,5498
20260417,10,"100,001-200,000",37,"5,241,553",2.70,5498
20260417,11,"200,001-400,000",25,"7,278,165",3.76,5498
20260417,12,"400,001-600,000",9,"4,432,213",2.28,5498
20260417,13,"600,001-800,000",5,"3,622,270",1.87,5498
20260417,14,"800,001-1,000,000",3,"2,748,639",1.42,5498
20260417,15,"1,000,001以上",19,"71,948,172",37.17,5498
20260417,16,差異數調整（說明4）,,"-4,000",-0.00,5498
20260417,17,合　計,"67,368","193,548,545",100.00,5498
20260410,1,1-999,"38,758","1,863,138",0.96,5498
20260410,2,"1,000-5,000","29,634","54,424,846",28.11,5498
20260410,3,"5,001-10,000","2,668","21,223,555",10.96,5498
20260410,4,"10,001-15,000",720,"9,233,163",4.77,5498
20260410,5,"15,001-20,000",418,"7,831,454",4.04,5498
20260410,6,"20,001-30,000",276,"7,059,663",3.64,5498
20260410,7,"30,001-40,000",132,"4,775,077",2.46,5498
20260410,8,"40,001-50,000",73,"3,393,960",1.75,5498
20260410,9,"50,001-100,000",118,"8,387,126",4.33,5498
20260410,10,"100,001-200,000",43,"6,067,101",3.13,5498
20260410,11,"200,001-400,000",22,"6,230,967",3.21,5498
20260410,12,"400,001-600,000",3,"1,396,179",0.72,5498
20260410,13,"600,001-800,000",2,"1,307,270",0.67,5498
20260410,14,"800,001-1,000,000",1,"873,074",0.45,5498
20260410,15,"1,000,001以上",11,"59,481,972",30.73,5498
20260410,16,合　計,"72,879","193,548,545",100.00,5498
20260402,1,1-999,"38,334","1,867,008",0.96,5498
20260402,2,"1,000-5,000","29,705","54,756,070",28.29,5498
20260402,3,"5,001-10,000","2,759","21,913,804",11.32,5498
20260402,4,"10,001-15,000",721,"9,263,645",4.78,5498
20260402,5,"15,001-20,000",429,"8,042,026",4.15,5498
20260402,6,"20,001-30,000",299,"7,631,973",3.94,5498
20260402,7,"30,001-40,000",132,"4,775,061",2.46,5498
20260402,8,"40,001-50,000",73,"3,356,961",1.73,5498
20260402,9,"50,001-100,000",123,"8,696,680",4.49,5498
20260402,10,"100,001-200,000",34,"4,672,663",2.41,5498
20260402,11,"200,001-400,000",24,"6,456,634",3.33,5498
20260402,12,"400,001-600,000",1,"453,704",0.23,5498
20260402,13,"600,001-800,000",2,"1,307,270",0.67,5498
20260402,14,"800,001-1,000,000",1,"873,074",0.45,5498
20260402,15,"1,000,001以上",11,"59,481,972",30.73,5498
20260402,16,合　計,"72,648","193,548,545",100.00,5498
20260327,1,1-999,"37,973","1,860,103",0.96,5498
20260327,2,"1,000-5,000","29,857","54,859,163",28.34,5498
20260327,3,"5,001-10,000","2,737","21,768,084",11.24,5498
20260327,4,"10,001-15,000",710,"9,159,144",4.73,5498
20260327,5,"15,001-20,000",424,"7,946,871",4.10,5498
20260327,6,"20,001-30,000",294,"7,515,494",3.88,5498
20260327,7,"30,001-40,000",125,"4,513,632",2.33,5498
20260327,8,"40,001-50,000",87,"4,021,405",2.07,5498
20260327,9,"50,001-100,000",131,"9,187,016",4.74,5498
20260327,10,"100,001-200,000",36,"4,874,333",2.51,5498
20260327,11,"200,001-400,000",21,"5,727,280",2.95,5498
