date,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%),stock_id
20260430,1,1-999,"10,948","1,469,184",1.87,8103
20260430,2,"1,000-5,000","4,327","8,229,419",10.49,8103
20260430,3,"5,001-10,000",491,"3,721,543",4.74,8103
20260430,4,"10,001-15,000",136,"1,697,277",2.16,8103
20260430,5,"15,001-20,000",97,"1,704,789",2.17,8103
20260430,6,"20,001-30,000",86,"2,149,391",2.74,8103
20260430,7,"30,001-40,000",33,"1,125,643",1.43,8103
20260430,8,"40,001-50,000",22,"1,000,929",1.27,8103
20260430,9,"50,001-100,000",50,"3,494,780",4.45,8103
20260430,10,"100,001-200,000",34,"4,834,309",6.16,8103
20260430,11,"200,001-400,000",24,"6,754,393",8.61,8103
20260430,12,"400,001-600,000",11,"5,292,454",6.74,8103
20260430,13,"600,001-800,000",6,"4,253,150",5.42,8103
20260430,14,"800,001-1,000,000",4,"3,441,087",4.38,8103
20260430,15,"1,000,001以上",12,"29,268,323",37.31,8103
20260430,16,合　計,"16,281","78,436,671",100.00,8103
20260424,1,1-999,"10,875","1,513,970",1.93,8103
20260424,2,"1,000-5,000","4,599","8,910,209",11.35,8103
20260424,3,"5,001-10,000",548,"4,231,397",5.39,8103
20260424,4,"10,001-15,000",151,"1,874,720",2.39,8103
20260424,5,"15,001-20,000",121,"2,157,497",2.75,8103
20260424,6,"20,001-30,000",89,"2,218,674",2.82,8103
20260424,7,"30,001-40,000",33,"1,133,575",1.44,8103
20260424,8,"40,001-50,000",25,"1,138,815",1.45,8103
20260424,9,"50,001-100,000",54,"3,778,346",4.81,8103
20260424,10,"100,001-200,000",34,"4,762,608",6.07,8103
20260424,11,"200,001-400,000",25,"7,078,538",9.02,8103
20260424,12,"400,001-600,000",9,"4,291,136",5.47,8103
20260424,13,"600,001-800,000",7,"4,992,062",6.36,8103
20260424,14,"800,001-1,000,000",2,"1,767,193",2.25,8103
20260424,15,"1,000,001以上",11,"28,587,931",36.44,8103
20260424,16,合　計,"16,583","78,436,671",100.00,8103
20260417,1,1-999,"11,168","1,496,234",1.90,8103
20260417,2,"1,000-5,000","4,505","8,991,010",11.46,8103
20260417,3,"5,001-10,000",584,"4,415,012",5.62,8103
20260417,4,"10,001-15,000",171,"2,123,300",2.70,8103
20260417,5,"15,001-20,000",130,"2,296,248",2.92,8103
