date,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%),stock_id
20260612,1,1-999,289,"74,650",0.01,00968B
20260612,2,"1,000-5,000","2,545","7,109,303",0.95,00968B
20260612,3,"5,001-10,000","1,653","15,233,715",2.04,00968B
20260612,4,"10,001-15,000",499,"6,713,700",0.9,00968B
20260612,5,"15,001-20,000",849,"16,628,573",2.23,00968B
20260612,6,"20,001-30,000",724,"20,239,023",2.71,00968B
20260612,7,"30,001-40,000",320,"11,884,926",1.59,00968B
20260612,8,"40,001-50,000",522,"25,545,805",3.42,00968B
20260612,9,"50,001-100,000",776,"63,146,937",8.47,00968B
20260612,10,"100,001-200,000",326,"48,586,089",6.52,00968B
20260612,11,"200,001-400,000",160,"46,250,669",6.2,00968B
20260612,12,"400,001-600,000",36,"18,395,286",2.46,00968B
20260612,13,"600,001-800,000",6,"4,479,169",0.6,00968B
20260612,14,"800,001-1,000,000",13,"12,383,000",1.66,00968B
20260612,15,"1,000,001以上",37,"448,340,155",60.17,00968B
20260612,16,合　計,"8,755","745,011,000",100.0,00968B
20260605,1,1-999,284,"74,734",0.01,00968B
20260605,2,"1,000-5,000","2,586","7,213,712",1.13,00968B
20260605,3,"5,001-10,000","1,689","15,561,844",2.43,00968B
20260605,4,"10,001-15,000",509,"6,849,269",1.07,00968B
20260605,5,"15,001-20,000",862,"16,872,060",2.64,00968B
20260605,6,"20,001-30,000",739,"20,660,519",3.23,00968B
20260605,7,"30,001-40,000",326,"12,106,678",1.89,00968B
20260605,8,"40,001-50,000",534,"26,163,165",4.1,00968B
20260605,9,"50,001-100,000",782,"63,604,489",9.96,00968B
20260605,10,"100,001-200,000",334,"49,596,911",7.77,00968B
20260605,11,"200,001-400,000",164,"47,194,974",7.39,00968B
20260605,12,"400,001-600,000",38,"19,476,682",3.05,00968B
20260605,13,"600,001-800,000",6,"4,478,597",0.7,00968B
20260605,14,"800,001-1,000,000",13,"12,383,000",1.94,00968B
20260605,15,"1,000,001以上",36,"335,774,366",52.62,00968B
20260605,16,合　計,"8,902","638,011,000",100.0,00968B
20260529,1,1-999,283,"73,031",0.01,00968B
20260529,2,"1,000-5,000","2,656","7,420,646",1.13,00968B
20260529,3,"5,001-10,000","1,729","15,925,310",2.43,00968B
20260529,4,"10,001-15,000",516,"6,953,194",1.06,00968B
20260529,5,"15,001-20,000",877,"17,167,085",2.62,00968B
20260529,6,"20,001-30,000",767,"21,387,936",3.26,00968B
20260529,7,"30,001-40,000",321,"11,900,331",1.81,00968B
20260529,8,"40,001-50,000",548,"26,850,254",4.09,00968B
20260529,9,"50,001-100,000",807,"65,629,338",10.01,00968B
20260529,10,"100,001-200,000",338,"50,324,563",7.68,00968B
20260529,11,"200,001-400,000",169,"48,597,932",7.41,00968B
20260529,12,"400,001-600,000",41,"21,023,682",3.2,00968B
20260529,13,"600,001-800,000",6,"4,477,811",0.68,00968B
20260529,14,"800,001-1,000,000",13,"12,456,211",1.9,00968B
20260529,15,"1,000,001以上",39,"344,823,676",52.64,00968B
20260529,16,合　計,"9,110","655,011,000",100.0,00968B
20260522,1,1-999,285,"74,783",0.01,00968B
20260522,2,"1,000-5,000","2,721","7,581,007",1.14,00968B
20260522,3,"5,001-10,000","1,756","16,203,216",2.45,00968B
20260522,4,"10,001-15,000",535,"7,204,295",1.09,00968B
20260522,5,"15,001-20,000",893,"17,492,280",2.65,00968B
20260522,6,"20,001-30,000",780,"21,740,771",3.29,00968B
20260522,7,"30,001-40,000",321,"11,902,422",1.8,00968B
20260522,8,"40,001-50,000",560,"27,435,929",4.16,00968B
20260522,9,"50,001-100,000",836,"68,060,052",10.31,00968B
20260522,10,"100,001-200,000",342,"51,048,531",7.74,00968B
20260522,11,"200,001-400,000",170,"48,789,931",7.39,00968B
20260522,12,"400,001-600,000",41,"20,982,286",3.18,00968B
20260522,13,"600,001-800,000",7,"5,260,505",0.79,00968B
20260522,14,"800,001-1,000,000",13,"12,466,211",1.89,00968B
20260522,15,"1,000,001以上",37,"343,268,781",52.04,00968B
20260522,16,合　計,"9,297","659,511,000",100.0,00968B
20260515,1,1-999,290,"77,974",0.01,00968B
