date,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%),stock_id
20260918,1,1-999,0,0,0.00,3356
20260918,2,"1,000-5,000",0,0,0.00,3356
20260918,3,"5,001-10,000",0,0,0.00,3356
20260918,4,"10,001-15,000",0,0,0.00,3356
20260918,5,"15,001-20,000",0,0,0.00,3356
20260918,6,"20,001-30,000",0,0,0.00,3356
20260918,7,"30,001-40,000",0,0,0.00,3356
20260918,8,"40,001-50,000",0,0,0.00,3356
20260918,9,"50,001-100,000",0,0,0.00,3356
20260918,10,"100,001-200,000",0,0,0.00,3356
20260918,11,"200,001-400,000",0,0,0.00,3356
20260918,12,"400,001-600,000",0,0,0.00,3356
20260918,13,"600,001-800,000",0,0,0.00,3356
20260918,14,"800,001-1,000,000",0,0,0.00,3356
20260918,15,"1,000,001以上",1,"68,550,422",100.00,3356
20260918,16,合　計,1,"68,550,422",100.00,3356
20260911,1,1-999,"21,930","1,724,028",2.14,3356
20260911,2,"1,000-5,000","6,251","13,099,450",16.26,3356
20260911,3,"5,001-10,000",979,"7,260,174",9.01,3356
20260911,4,"10,001-15,000",296,"3,710,816",4.60,3356
20260911,5,"15,001-20,000",165,"2,948,724",3.66,3356
20260911,6,"20,001-30,000",141,"3,456,550",4.29,3356
20260911,7,"30,001-40,000",77,"2,696,783",3.34,3356
20260911,8,"40,001-50,000",40,"1,825,933",2.26,3356
20260911,9,"50,001-100,000",77,"5,462,950",6.78,3356
20260911,10,"100,001-200,000",32,"4,213,556",5.23,3356
20260911,11,"200,001-400,000",21,"6,069,898",7.53,3356
20260911,12,"400,001-600,000",4,"2,198,631",2.72,3356
20260911,13,"600,001-800,000",2,"1,477,368",1.83,3356
20260911,14,"800,001-1,000,000",1,"814,163",1.01,3356
20260911,15,"1,000,001以上",7,"23,582,648",29.28,3356
20260911,16,合　計,"30,023","80,541,672",100.00,3356
20260904,1,1-999,"23,310","1,735,695",2.15,3356
20260904,2,"1,000-5,000","6,305","13,136,221",16.30,3356
20260904,3,"5,001-10,000",976,"7,245,864",8.99,3356
20260904,4,"10,001-15,000",287,"3,616,571",4.49,3356
20260904,5,"15,001-20,000",169,"3,019,545",3.74,3356
20260904,6,"20,001-30,000",142,"3,467,042",4.30,3356
20260904,7,"30,001-40,000",75,"2,634,550",3.27,3356
20260904,8,"40,001-50,000",43,"1,970,569",2.44,3356
20260904,9,"50,001-100,000",77,"5,477,265",6.80,3356
20260904,10,"100,001-200,000",32,"4,213,616",5.23,3356
20260904,11,"200,001-400,000",19,"5,347,806",6.63,3356
20260904,12,"400,001-600,000",6,"3,089,749",3.83,3356
20260904,13,"600,001-800,000",2,"1,543,368",1.91,3356
20260904,14,"800,001-1,000,000",1,"814,163",1.01,3356
20260904,15,"1,000,001以上",7,"23,229,648",28.84,3356
20260904,16,合　計,"31,451","80,541,672",100.00,3356
20260828,1,1-999,"24,335","1,752,538",2.17,3356
20260828,2,"1,000-5,000","6,293","13,184,640",16.36,3356
20260828,3,"5,001-10,000",964,"7,167,216",8.89,3356
20260828,4,"10,001-15,000",282,"3,543,314",4.39,3356
20260828,5,"15,001-20,000",170,"3,034,445",3.76,3356
20260828,6,"20,001-30,000",145,"3,540,042",4.39,3356
20260828,7,"30,001-40,000",72,"2,517,196",3.12,3356
20260828,8,"40,001-50,000",43,"1,959,264",2.43,3356
20260828,9,"50,001-100,000",72,"5,056,802",6.27,3356
20260828,10,"100,001-200,000",35,"4,614,485",5.72,3356
20260828,11,"200,001-400,000",20,"5,567,773",6.91,3356
20260828,12,"400,001-600,000",4,"2,223,383",2.76,3356
20260828,13,"600,001-800,000",4,"2,815,683",3.49,3356
20260828,14,"800,001-1,000,000",1,"814,163",1.01,3356
20260828,15,"1,000,001以上",7,"22,750,728",28.24,3356
20260828,16,合　計,"32,447","80,541,672",100.00,3356
20260821,1,1-999,"25,120","1,758,679",2.18,3356
20260821,2,"1,000-5,000","6,322","13,237,256",16.43,3356
20260821,3,"5,001-10,000",969,"7,230,253",8.97,3356
20260821,4,"10,001-15,000",277,"3,473,828",4.31,3356
20260821,5,"15,001-20,000",165,"2,944,325",3.65,3356
20260821,6,"20,001-30,000",147,"3,569,542",4.43,3356
20260821,7,"30,001-40,000",73,"2,544,867",3.15,3356
20260821,8,"40,001-50,000",46,"2,105,091",2.61,3356
20260821,9,"50,001-100,000",71,"4,984,569",6.18,3356
20260821,10,"100,001-200,000",32,"4,185,223",5.19,3356
20260821,11,"200,001-400,000",18,"4,833,911",6.00,3356
20260821,12,"400,001-600,000",5,"2,629,789",3.26,3356
20260821,13,"600,001-800,000",5,"3,633,448",4.51,3356
20260821,14,"800,001-1,000,000",1,"814,163",1.01,3356
20260821,15,"1,000,001以上",7,"22,596,728",28.05,3356
20260821,16,合　計,"33,258","80,541,672",100.00,3356
20260814,1,1-999,"27,535","1,776,827",2.20,3356
20260814,2,"1,000-5,000","6,455","13,462,778",16.71,3356
20260814,3,"5,001-10,000",985,"7,385,218",9.16,3356
20260814,4,"10,001-15,000",281,"3,516,547",4.36,3356
20260814,5,"15,001-20,000",178,"3,195,055",3.96,3356
20260814,6,"20,001-30,000",143,"3,509,682",4.35,3356
20260814,7,"30,001-40,000",69,"2,387,490",2.96,3356
20260814,8,"40,001-50,000",40,"1,819,461",2.25,3356
20260814,9,"50,001-100,000",76,"5,294,339",6.57,3356
20260814,10,"100,001-200,000",29,"3,894,773",4.83,3356
20260814,11,"200,001-400,000",22,"5,947,830",7.38,3356
20260814,12,"400,001-600,000",4,"2,194,789",2.72,3356
20260814,13,"600,001-800,000",2,"1,455,763",1.80,3356
20260814,14,"800,001-1,000,000",2,"1,634,472",2.02,3356
20260814,15,"1,000,001以上",8,"23,066,648",28.63,3356
20260814,16,合　計,"35,829","80,541,672",100.00,3356
20260807,1,1-999,"27,580","1,794,369",2.22,3356
20260807,2,"1,000-5,000","6,620","13,825,792",17.16,3356
20260807,3,"5,001-10,000",988,"7,407,481",9.19,3356
20260807,4,"10,001-15,000",302,"3,758,582",4.66,3356
20260807,5,"15,001-20,000",176,"3,157,405",3.92,3356
20260807,6,"20,001-30,000",146,"3,574,006",4.43,3356
20260807,7,"30,001-40,000",70,"2,438,382",3.02,3356
20260807,8,"40,001-50,000",40,"1,811,411",2.24,3356
20260807,9,"50,001-100,000",76,"5,358,350",6.65,3356
20260807,10,"100,001-200,000",32,"4,295,033",5.33,3356
20260807,11,"200,001-400,000",21,"5,791,051",7.19,3356
20260807,12,"400,001-600,000",3,"1,649,927",2.04,3356
20260807,13,"600,001-800,000",3,"2,081,072",2.58,3356
20260807,14,"800,001-1,000,000",2,"1,676,083",2.08,3356
