date,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%),stock_id
20260828,1,1-999,"75,812","6,022,386",6.36,3163
20260828,2,"1,000-5,000","15,952","24,997,826",26.41,3163
20260828,3,"5,001-10,000",742,"5,620,841",5.93,3163
20260828,4,"10,001-15,000",173,"2,217,191",2.34,3163
20260828,5,"15,001-20,000",104,"1,886,997",1.99,3163
20260828,6,"20,001-30,000",77,"1,984,805",2.09,3163
20260828,7,"30,001-40,000",31,"1,111,974",1.17,3163
20260828,8,"40,001-50,000",21,"955,770",1.00,3163
20260828,9,"50,001-100,000",50,"3,649,410",3.85,3163
20260828,10,"100,001-200,000",24,"3,432,623",3.62,3163
20260828,11,"200,001-400,000",25,"7,430,613",7.85,3163
20260828,12,"400,001-600,000",8,"3,916,417",4.13,3163
20260828,13,"600,001-800,000",3,"2,054,976",2.17,3163
20260828,14,"800,001-1,000,000",0,0,0.00,3163
20260828,15,"1,000,001以上",8,"29,353,541",31.01,3163
20260828,16,合　計,"93,030","94,635,370",100.00,3163
20260821,1,1-999,"75,089","5,890,206",7.31,3163
20260821,2,"1,000-5,000","15,536","24,456,487",30.36,3163
20260821,3,"5,001-10,000",727,"5,531,353",6.86,3163
20260821,4,"10,001-15,000",171,"2,180,491",2.70,3163
20260821,5,"15,001-20,000",110,"2,002,142",2.48,3163
20260821,6,"20,001-30,000",78,"2,011,260",2.49,3163
20260821,7,"30,001-40,000",31,"1,113,254",1.38,3163
20260821,8,"40,001-50,000",18,"819,704",1.01,3163
20260821,9,"50,001-100,000",50,"3,612,037",4.48,3163
20260821,10,"100,001-200,000",24,"3,393,681",4.21,3163
20260821,11,"200,001-400,000",22,"6,310,737",7.83,3163
20260821,12,"400,001-600,000",10,"4,996,174",6.20,3163
20260821,13,"600,001-800,000",2,"1,302,373",1.61,3163
20260821,14,"800,001-1,000,000",2,"1,676,930",2.08,3163
20260821,15,"1,000,001以上",7,"15,243,912",18.92,3163
20260821,16,合　計,"91,877","80,540,741",100.00,3163
20260814,1,1-999,"74,610","5,812,034",7.21,3163
20260814,2,"1,000-5,000","15,453","24,323,507",30.20,3163
20260814,3,"5,001-10,000",721,"5,481,556",6.80,3163
20260814,4,"10,001-15,000",167,"2,140,871",2.65,3163
20260814,5,"15,001-20,000",106,"1,935,438",2.40,3163
20260814,6,"20,001-30,000",76,"1,958,395",2.43,3163
20260814,7,"30,001-40,000",31,"1,102,254",1.36,3163
20260814,8,"40,001-50,000",21,"957,724",1.18,3163
20260814,9,"50,001-100,000",47,"3,325,447",4.12,3163
20260814,10,"100,001-200,000",25,"3,500,281",4.34,3163
20260814,11,"200,001-400,000",24,"6,979,805",8.66,3163
20260814,12,"400,001-600,000",9,"4,356,152",5.40,3163
20260814,13,"600,001-800,000",2,"1,410,373",1.75,3163
20260814,14,"800,001-1,000,000",2,"1,818,992",2.25,3163
20260814,15,"1,000,001以上",7,"15,437,912",19.16,3163
20260814,16,合　計,"91,301","80,540,741",100.00,3163
20260807,1,1-999,"73,427","5,602,422",6.95,3163
20260807,2,"1,000-5,000","15,001","23,528,952",29.21,3163
20260807,3,"5,001-10,000",689,"5,272,168",6.54,3163
20260807,4,"10,001-15,000",167,"2,160,041",2.68,3163
20260807,5,"15,001-20,000",109,"1,990,168",2.47,3163
20260807,6,"20,001-30,000",70,"1,800,120",2.23,3163
20260807,7,"30,001-40,000",30,"1,071,254",1.33,3163
20260807,8,"40,001-50,000",20,"917,712",1.13,3163
20260807,9,"50,001-100,000",45,"3,220,691",3.99,3163
20260807,10,"100,001-200,000",28,"3,911,461",4.85,3163
20260807,11,"200,001-400,000",24,"7,202,687",8.94,3163
20260807,12,"400,001-600,000",7,"3,428,452",4.25,3163
20260807,13,"600,001-800,000",1,"615,000",0.76,3163
20260807,14,"800,001-1,000,000",2,"1,666,897",2.06,3163
20260807,15,"1,000,001以上",9,"18,152,716",22.53,3163
20260807,16,合　計,"89,629","80,540,741",100.00,3163
20260731,1,1-999,"72,457","5,496,621",6.82,3163
20260731,2,"1,000-5,000","14,725","23,373,837",29.02,3163
20260731,3,"5,001-10,000",702,"5,334,035",6.62,3163
20260731,4,"10,001-15,000",174,"2,254,307",2.79,3163
20260731,5,"15,001-20,000",101,"1,836,188",2.27,3163
20260731,6,"20,001-30,000",74,"1,902,935",2.36,3163
20260731,7,"30,001-40,000",30,"1,060,899",1.31,3163
20260731,8,"40,001-50,000",22,"1,018,668",1.26,3163
20260731,9,"50,001-100,000",44,"3,062,447",3.80,3163
20260731,10,"100,001-200,000",33,"4,766,003",5.91,3163
20260731,11,"200,001-400,000",18,"5,358,709",6.65,3163
20260731,12,"400,001-600,000",12,"5,535,773",6.87,3163
20260731,13,"600,001-800,000",1,"786,000",0.97,3163
20260731,14,"800,001-1,000,000",1,"845,524",1.04,3163
20260731,15,"1,000,001以上",9,"17,908,795",22.23,3163
20260731,16,合　計,"88,403","80,540,741",100.00,3163
20260724,1,1-999,"71,632","5,302,765",6.58,3163
20260724,2,"1,000-5,000","13,861","21,883,495",27.17,3163
20260724,3,"5,001-10,000",653,"5,004,925",6.21,3163
20260724,4,"10,001-15,000",175,"2,252,065",2.79,3163
20260724,5,"15,001-20,000",86,"1,561,152",1.93,3163
20260724,6,"20,001-30,000",74,"1,880,595",2.33,3163
20260724,7,"30,001-40,000",34,"1,204,439",1.49,3163
20260724,8,"40,001-50,000",19,"873,177",1.08,3163
20260724,9,"50,001-100,000",46,"3,243,781",4.02,3163
20260724,10,"100,001-200,000",26,"3,742,527",4.64,3163
20260724,11,"200,001-400,000",20,"5,909,193",7.33,3163
20260724,12,"400,001-600,000",11,"5,606,100",6.96,3163
20260724,13,"600,001-800,000",2,"1,509,260",1.87,3163
20260724,14,"800,001-1,000,000",3,"2,652,367",3.29,3163
20260724,15,"1,000,001以上",9,"17,914,900",22.24,3163
20260724,16,合　計,"86,651","80,540,741",100.00,3163
20260717,1,1-999,"71,849","5,266,652",6.53,3163
20260717,2,"1,000-5,000","13,863","22,034,638",27.35,3163
20260717,3,"5,001-10,000",672,"5,171,185",6.42,3163
20260717,4,"10,001-15,000",163,"2,119,688",2.63,3163
20260717,5,"15,001-20,000",101,"1,840,952",2.28,3163
20260717,6,"20,001-30,000",75,"1,899,965",2.35,3163
20260717,7,"30,001-40,000",34,"1,196,136",1.48,3163
20260717,8,"40,001-50,000",20,"909,511",1.12,3163
20260717,9,"50,001-100,000",52,"3,590,950",4.45,3163
20260717,10,"100,001-200,000",29,"4,080,627",5.06,3163
20260717,11,"200,001-400,000",21,"6,308,042",7.83,3163
20260717,12,"400,001-600,000",10,"5,019,115",6.23,3163
20260717,13,"600,001-800,000",4,"2,850,000",3.53,3163
20260717,14,"800,001-1,000,000",2,"1,768,000",2.19,3163
