date,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%),stock_id
20260612,1,1-999,"22,678","274,716",0.68,3441
20260612,2,"1,000-5,000","5,048","9,019,978",22.52,3441
20260612,3,"5,001-10,000",457,"3,769,712",9.41,3441
20260612,4,"10,001-15,000",103,"1,325,134",3.30,3441
20260612,5,"15,001-20,000",79,"1,486,848",3.71,3441
20260612,6,"20,001-30,000",63,"1,615,139",4.03,3441
20260612,7,"30,001-40,000",26,"911,232",2.27,3441
20260612,8,"40,001-50,000",24,"1,095,060",2.73,3441
20260612,9,"50,001-100,000",34,"2,378,867",5.94,3441
20260612,10,"100,001-200,000",16,"2,422,003",6.04,3441
20260612,11,"200,001-400,000",11,"3,301,480",8.24,3441
20260612,12,"400,001-600,000",5,"2,419,917",6.04,3441
20260612,13,"600,001-800,000",3,"2,124,342",5.30,3441
20260612,14,"800,001-1,000,000",2,"1,838,655",4.59,3441
20260612,15,"1,000,001以上",4,"6,056,837",15.12,3441
20260612,16,合　計,"28,553","40,039,920",100.00,3441
20260605,1,1-999,"22,446","255,807",0.63,3441
20260605,2,"1,000-5,000","5,363","9,957,648",24.86,3441
20260605,3,"5,001-10,000",545,"4,533,675",11.32,3441
20260605,4,"10,001-15,000",121,"1,569,074",3.91,3441
20260605,5,"15,001-20,000",87,"1,632,997",4.07,3441
20260605,6,"20,001-30,000",66,"1,682,289",4.20,3441
20260605,7,"30,001-40,000",36,"1,262,751",3.15,3441
20260605,8,"40,001-50,000",22,"1,004,164",2.50,3441
20260605,9,"50,001-100,000",36,"2,490,620",6.22,3441
20260605,10,"100,001-200,000",19,"2,908,463",7.26,3441
20260605,11,"200,001-400,000",9,"2,504,264",6.25,3441
20260605,12,"400,001-600,000",2,"1,005,679",2.51,3441
20260605,13,"600,001-800,000",2,"1,463,342",3.65,3441
20260605,14,"800,001-1,000,000",2,"1,703,310",4.25,3441
20260605,15,"1,000,001以上",4,"6,065,837",15.14,3441
20260605,16,合　計,"28,760","40,039,920",100.00,3441
20260529,1,1-999,"22,434","251,453",0.62,3441
20260529,2,"1,000-5,000","5,519","10,178,682",25.42,3441
20260529,3,"5,001-10,000",578,"4,833,118",12.07,3441
20260529,4,"10,001-15,000",133,"1,723,413",4.30,3441
20260529,5,"15,001-20,000",78,"1,452,744",3.62,3441
20260529,6,"20,001-30,000",66,"1,666,289",4.16,3441
20260529,7,"30,001-40,000",35,"1,230,751",3.07,3441
20260529,8,"40,001-50,000",20,"912,060",2.27,3441
20260529,9,"50,001-100,000",33,"2,256,363",5.63,3441
20260529,10,"100,001-200,000",18,"2,734,463",6.82,3441
20260529,11,"200,001-400,000",7,"2,085,480",5.20,3441
20260529,12,"400,001-600,000",3,"1,482,615",3.70,3441
20260529,13,"600,001-800,000",2,"1,463,342",3.65,3441
20260529,14,"800,001-1,000,000",2,"1,703,310",4.25,3441
20260529,15,"1,000,001以上",4,"6,065,837",15.14,3441
20260529,16,合　計,"28,932","40,039,920",100.00,3441
20260522,1,1-999,"22,268","198,222",0.49,3441
20260522,2,"1,000-5,000","5,239","9,528,087",23.79,3441
20260522,3,"5,001-10,000",539,"4,549,318",11.36,3441
20260522,4,"10,001-15,000",123,"1,586,787",3.96,3441
20260522,5,"15,001-20,000",86,"1,608,744",4.01,3441
20260522,6,"20,001-30,000",70,"1,794,204",4.48,3441
20260522,7,"30,001-40,000",31,"1,103,750",2.75,3441
20260522,8,"40,001-50,000",24,"1,094,060",2.73,3441
20260522,9,"50,001-100,000",32,"2,224,349",5.55,3441
20260522,10,"100,001-200,000",23,"3,472,463",8.67,3441
20260522,11,"200,001-400,000",8,"2,641,768",6.59,3441
20260522,12,"400,001-600,000",2,"1,005,679",2.51,3441
20260522,13,"600,001-800,000",2,"1,463,342",3.65,3441
20260522,14,"800,001-1,000,000",2,"1,703,310",4.25,3441
20260522,15,"1,000,001以上",4,"6,065,837",15.14,3441
20260522,16,合　計,"28,453","40,039,920",100.00,3441
20260515,1,1-999,"22,013","161,043",0.40,3441
20260515,2,"1,000-5,000","4,407","8,517,233",21.27,3441
20260515,3,"5,001-10,000",534,"4,415,854",11.02,3441
20260515,4,"10,001-15,000",155,"2,007,074",5.01,3441
20260515,5,"15,001-20,000",81,"1,503,744",3.75,3441
20260515,6,"20,001-30,000",76,"1,922,175",4.80,3441
20260515,7,"30,001-40,000",40,"1,418,750",3.54,3441
20260515,8,"40,001-50,000",23,"1,057,060",2.64,3441
20260515,9,"50,001-100,000",36,"2,495,245",6.23,3441
20260515,10,"100,001-200,000",17,"2,547,492",6.36,3441
20260515,11,"200,001-400,000",10,"2,867,297",7.16,3441
20260515,12,"400,001-600,000",4,"1,894,464",4.73,3441
20260515,13,"600,001-800,000",2,"1,463,342",3.65,3441
20260515,14,"800,001-1,000,000",2,"1,703,310",4.25,3441
20260515,15,"1,000,001以上",4,"6,065,837",15.14,3441
20260515,16,合　計,"27,404","40,039,920",100.00,3441
20260508,1,1-999,"22,026","159,968",0.39,3441
20260508,2,"1,000-5,000","4,661","8,952,607",22.35,3441
20260508,3,"5,001-10,000",569,"4,736,748",11.83,3441
20260508,4,"10,001-15,000",158,"2,075,327",5.18,3441
20260508,5,"15,001-20,000",82,"1,512,744",3.77,3441
20260508,6,"20,001-30,000",78,"1,953,175",4.87,3441
20260508,7,"30,001-40,000",43,"1,516,750",3.78,3441
20260508,8,"40,001-50,000",22,"982,060",2.45,3441
20260508,9,"50,001-100,000",36,"2,469,245",6.16,3441
20260508,10,"100,001-200,000",16,"2,302,463",5.75,3441
20260508,11,"200,001-400,000",6,"1,787,584",4.46,3441
20260508,12,"400,001-600,000",5,"2,358,760",5.89,3441
20260508,13,"600,001-800,000",2,"1,463,342",3.65,3441
20260508,14,"800,001-1,000,000",2,"1,703,310",4.25,3441
20260508,15,"1,000,001以上",4,"6,065,837",15.14,3441
20260508,16,合　計,"27,710","40,039,920",100.00,3441
20260430,1,1-999,"21,990","155,969",0.38,3441
20260430,2,"1,000-5,000","4,480","8,614,559",21.51,3441
20260430,3,"5,001-10,000",569,"4,697,411",11.73,3441
20260430,4,"10,001-15,000",156,"2,027,075",5.06,3441
20260430,5,"15,001-20,000",95,"1,753,997",4.38,3441
20260430,6,"20,001-30,000",74,"1,866,175",4.66,3441
20260430,7,"30,001-40,000",43,"1,506,753",3.76,3441
20260430,8,"40,001-50,000",23,"1,024,060",2.55,3441
20260430,9,"50,001-100,000",40,"2,719,245",6.79,3441
20260430,10,"100,001-200,000",15,"2,227,463",5.56,3441
20260430,11,"200,001-400,000",7,"2,274,584",5.68,3441
20260430,12,"400,001-600,000",4,"1,940,140",4.84,3441
20260430,13,"600,001-800,000",2,"1,463,342",3.65,3441
20260430,14,"800,001-1,000,000",2,"1,703,310",4.25,3441
20260430,15,"1,000,001以上",4,"6,065,837",15.14,3441
20260430,16,合　計,"27,504","40,039,920",100.00,3441
20260424,1,1-999,"21,979","155,304",0.38,3441
20260424,2,"1,000-5,000","4,523","8,704,238",21.73,3441
20260424,3,"5,001-10,000",561,"4,615,401",11.52,3441
20260424,4,"10,001-15,000",156,"2,025,075",5.05,3441
20260424,5,"15,001-20,000",93,"1,722,997",4.30,3441
20260424,6,"20,001-30,000",76,"1,922,178",4.80,3441
20260424,7,"30,001-40,000",41,"1,446,750",3.61,3441
20260424,8,"40,001-50,000",24,"1,071,060",2.67,3441
20260424,9,"50,001-100,000",39,"2,649,245",6.61,3441
20260424,10,"100,001-200,000",15,"2,244,463",5.60,3441
20260424,11,"200,001-400,000",7,"2,314,584",5.78,3441
20260424,12,"400,001-600,000",4,"1,936,136",4.83,3441
20260424,13,"600,001-800,000",2,"1,463,342",3.65,3441
20260424,14,"800,001-1,000,000",2,"1,703,310",4.25,3441
20260424,15,"1,000,001以上",4,"6,065,837",15.14,3441
20260424,16,合　計,"27,526","40,039,920",100.00,3441
20260417,1,1-999,"21,931","153,756",0.38,3441
20260417,2,"1,000-5,000","4,511","8,694,194",21.71,3441
20260417,3,"5,001-10,000",554,"4,535,856",11.32,3441
20260417,4,"10,001-15,000",153,"2,000,075",4.99,3441
20260417,5,"15,001-20,000",87,"1,611,997",4.02,3441
20260417,6,"20,001-30,000",81,"2,046,289",5.11,3441
20260417,7,"30,001-40,000",41,"1,444,750",3.60,3441
20260417,8,"40,001-50,000",25,"1,108,060",2.76,3441
20260417,9,"50,001-100,000",36,"2,462,112",6.14,3441
20260417,10,"100,001-200,000",15,"2,229,463",5.56,3441
