date,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%),stock_id
20260320,1,1-999,"37,317","2,129,801",0.92,5309
20260320,2,"1,000-5,000","28,869","54,585,434",23.69,5309
20260320,3,"5,001-10,000","2,703","21,696,540",9.41,5309
20260320,4,"10,001-15,000",709,"9,220,079",4.0,5309
20260320,5,"15,001-20,000",410,"7,636,914",3.31,5309
20260320,6,"20,001-30,000",342,"8,810,885",3.82,5309
20260320,7,"30,001-40,000",162,"5,922,137",2.57,5309
20260320,8,"40,001-50,000",89,"4,124,119",1.79,5309
20260320,9,"50,001-100,000",153,"10,791,390",4.68,5309
20260320,10,"100,001-200,000",67,"9,456,334",4.1,5309
20260320,11,"200,001-400,000",28,"8,116,883",3.52,5309
20260320,12,"400,001-600,000",8,"3,950,479",1.71,5309
20260320,13,"600,001-800,000",6,"4,270,126",1.85,5309
20260320,14,"800,001-1,000,000",3,"2,728,888",1.18,5309
20260320,15,"1,000,001以上",7,"76,926,054",33.39,5309
20260320,16,合　計,"70,873","230,366,063",100.0,5309
20260313,1,1-999,"37,291","2,131,255",1.03,5309
20260313,2,"1,000-5,000","29,208","55,069,588",26.81,5309
20260313,3,"5,001-10,000","2,664","21,452,380",10.44,5309
20260313,4,"10,001-15,000",692,"8,976,193",4.37,5309
20260313,5,"15,001-20,000",402,"7,507,680",3.65,5309
20260313,6,"20,001-30,000",325,"8,379,819",4.08,5309
20260313,7,"30,001-40,000",168,"6,111,127",2.97,5309
20260313,8,"40,001-50,000",90,"4,195,119",2.04,5309
20260313,9,"50,001-100,000",151,"10,677,390",5.19,5309
20260313,10,"100,001-200,000",68,"9,544,334",4.64,5309
20260313,11,"200,001-400,000",29,"8,330,791",4.05,5309
20260313,12,"400,001-600,000",10,"4,808,426",2.34,5309
20260313,13,"600,001-800,000",5,"3,709,126",1.8,5309
20260313,14,"800,001-1,000,000",3,"2,704,267",1.31,5309
20260313,15,"1,000,001以上",7,"51,768,568",25.2,5309
20260313,16,合　計,"71,113","205,366,063",100.0,5309
20260306,1,1-999,"36,991","2,136,815",1.04,5309
20260306,2,"1,000-5,000","29,133","54,404,557",26.49,5309
20260306,3,"5,001-10,000","2,627","21,224,436",10.33,5309
20260306,4,"10,001-15,000",696,"9,066,500",4.41,5309
20260306,5,"15,001-20,000",375,"7,033,337",3.42,5309
20260306,6,"20,001-30,000",320,"8,239,561",4.01,5309
20260306,7,"30,001-40,000",161,"5,902,137",2.87,5309
20260306,8,"40,001-50,000",86,"4,022,119",1.95,5309
20260306,9,"50,001-100,000",142,"10,038,390",4.88,5309
20260306,10,"100,001-200,000",70,"9,733,161",4.73,5309
20260306,11,"200,001-400,000",29,"8,379,320",4.08,5309
20260306,12,"400,001-600,000",9,"4,433,535",2.15,5309
20260306,13,"600,001-800,000",6,"4,436,126",2.16,5309
20260306,14,"800,001-1,000,000",5,"4,443,900",2.16,5309
20260306,15,"1,000,001以上",7,"51,872,169",25.25,5309
20260306,16,合　計,"70,657","205,366,063",100.0,5309
20260226,1,1-999,"36,885","2,112,792",1.02,5309
20260226,2,"1,000-5,000","29,687","54,539,839",26.55,5309
20260226,3,"5,001-10,000","2,474","20,103,609",9.78,5309
20260226,4,"10,001-15,000",657,"8,522,926",4.15,5309
20260226,5,"15,001-20,000",360,"6,808,479",3.31,5309
20260226,6,"20,001-30,000",301,"7,862,062",3.82,5309
20260226,7,"30,001-40,000",150,"5,492,048",2.67,5309
20260226,8,"40,001-50,000",75,"3,495,119",1.7,5309
20260226,9,"50,001-100,000",146,"10,422,319",5.07,5309
20260226,10,"100,001-200,000",61,"8,707,232",4.23,5309
20260226,11,"200,001-400,000",27,"7,638,883",3.71,5309
20260226,12,"400,001-600,000",7,"3,709,604",1.8,5309
20260226,13,"600,001-800,000",9,"6,363,127",3.09,5309
20260226,14,"800,001-1,000,000",6,"5,414,466",2.63,5309
20260226,15,"1,000,001以上",8,"54,169,558",26.37,5309
20260226,16,合　計,"70,853","205,362,063",100.0,5309
20260213,1,1-999,"36,205","2,125,058",1.03,5309
20260213,2,"1,000-5,000","30,504","55,971,484",27.25,5309
20260213,3,"5,001-10,000","2,565","20,824,987",10.14,5309
20260213,4,"10,001-15,000",668,"8,674,708",4.22,5309
20260213,5,"15,001-20,000",373,"7,062,662",3.43,5309
20260213,6,"20,001-30,000",305,"7,953,801",3.87,5309
20260213,7,"30,001-40,000",146,"5,334,137",2.59,5309
20260213,8,"40,001-50,000",89,"4,119,119",2.0,5309
20260213,9,"50,001-100,000",140,"9,955,319",4.84,5309
20260213,10,"100,001-200,000",57,"8,073,934",3.93,5309
20260213,11,"200,001-400,000",30,"8,567,710",4.17,5309
20260213,12,"400,001-600,000",6,"3,078,122",1.49,5309
20260213,13,"600,001-800,000",5,"3,629,126",1.76,5309
20260213,14,"800,001-1,000,000",2,"1,775,154",0.86,5309
20260213,15,"1,000,001以上",12,"58,193,182",28.34,5309
20260213,16,合　計,"71,107","205,338,503",100.0,5309
20260206,1,1-999,"35,436","2,079,061",1.01,5309
20260206,2,"1,000-5,000","29,247","53,258,377",25.93,5309
20260206,3,"5,001-10,000","2,404","19,512,278",9.5,5309
20260206,4,"10,001-15,000",628,"8,147,552",3.96,5309
20260206,5,"15,001-20,000",356,"6,709,806",3.26,5309
20260206,6,"20,001-30,000",286,"7,433,402",3.62,5309
20260206,7,"30,001-40,000",140,"5,126,282",2.49,5309
20260206,8,"40,001-50,000",86,"3,996,119",1.94,5309
20260206,9,"50,001-100,000",137,"9,758,319",4.75,5309
20260206,10,"100,001-200,000",55,"7,854,405",3.82,5309
20260206,11,"200,001-400,000",29,"8,179,015",3.98,5309
20260206,12,"400,001-600,000",8,"4,092,804",1.99,5309
20260206,13,"600,001-800,000",5,"3,551,126",1.72,5309
20260206,14,"800,001-1,000,000",3,"2,672,893",1.3,5309
20260206,15,"1,000,001以上",16,"62,968,064",30.66,5309
20260206,16,差異數調整（說明4）,,"-1,000",-0.0,5309
20260206,17,合　計,"68,836","205,338,503",100.0,5309
20260130,1,1-999,"35,089","2,138,113",1.04,5309
20260130,2,"1,000-5,000","31,052","57,208,847",27.87,5309
20260130,3,"5,001-10,000","2,720","22,028,541",10.73,5309
20260130,4,"10,001-15,000",680,"8,847,812",4.31,5309
20260130,5,"15,001-20,000",396,"7,416,617",3.61,5309
20260130,6,"20,001-30,000",315,"8,180,707",3.98,5309
20260130,7,"30,001-40,000",148,"5,396,282",2.62,5309
20260130,8,"40,001-50,000",92,"4,297,119",2.09,5309
20260130,9,"50,001-100,000",142,"10,139,220",4.93,5309
20260130,10,"100,001-200,000",60,"8,664,383",4.22,5309
20260130,11,"200,001-400,000",24,"6,580,710",3.2,5309
20260130,12,"400,001-600,000",9,"4,498,804",2.19,5309
20260130,13,"600,001-800,000",7,"4,978,360",2.42,5309
20260130,14,"800,001-1,000,000",2,"1,772,892",0.86,5309
20260130,15,"1,000,001以上",8,"53,116,212",25.87,5309
20260130,16,合　計,"70,744","205,264,619",100.0,5309
