stock_id,date,持股分級,人數,持有股數,占集保庫存數比例
0052  ,2026-03-06,2,230114,488261529,20.86
0052  ,2026-03-06,3,45466,355896145,15.2
0052  ,2026-03-06,4,14399,185414110,7.92
0052  ,2026-03-06,5,7744,142272878,6.08
0052  ,2026-03-06,6,7258,183097922,7.82
0052  ,2026-03-06,7,2896,103110162,4.4
0052  ,2026-03-06,8,1805,83802520,3.58
0052  ,2026-03-06,9,2706,192117908,8.21
0052  ,2026-03-06,10,776,106311047,4.54
0052  ,2026-03-06,11,224,60150601,2.57
0052  ,2026-03-06,12,41,20369004,0.87
0052  ,2026-03-06,13,35,24368509,1.04
0052  ,2026-03-06,14,18,16714147,0.71
0052  ,2026-03-06,15,65,354201659,15.13
0052  ,2026-03-06,17,416449,2340000000,100.0
0053  ,2026-03-06,1,2059,182466,3.65
0053  ,2026-03-06,2,749,1426068,28.58
0053  ,2026-03-06,3,74,600157,12.03
0053  ,2026-03-06,4,10,132000,2.64
0053  ,2026-03-06,5,15,286000,5.73
0053  ,2026-03-06,6,4,107000,2.14
0053  ,2026-03-06,7,4,142000,2.84
0053  ,2026-03-06,8,2,100000,2.0
0053  ,2026-03-06,9,3,223000,4.47
0053  ,2026-03-06,10,1,196667,3.94
0053  ,2026-03-06,11,2,548642,10.99
0053  ,2026-03-06,12,0,0,0.0
0053  ,2026-03-06,13,0,0,0.0
0053  ,2026-03-06,14,0,0,0.0
0053  ,2026-03-06,15,1,1044000,20.93
0053  ,2026-03-06,17,2924,4988000,100.0
0055  ,2026-03-06,1,3167,883321,1.1
0055  ,2026-03-06,2,6162,12881709,16.07
0055  ,2026-03-06,3,1019,8023102,10.0
0055  ,2026-03-06,4,273,3473367,4.33
0055  ,2026-03-06,5,185,3370370,4.2
0055  ,2026-03-06,6,122,3155292,3.93
0055  ,2026-03-06,7,48,1702334,2.12
0055  ,2026-03-06,8,31,1443903,1.8
0055  ,2026-03-06,9,48,3276110,4.08
0055  ,2026-03-06,10,25,3179323,3.96
0055  ,2026-03-06,11,12,3474516,4.33
0055  ,2026-03-06,12,8,3598577,4.48
0055  ,2026-03-06,13,2,1427000,1.78
0055  ,2026-03-06,14,1,996842,1.24
0055  ,2026-03-06,15,3,29268234,36.51
0055  ,2026-03-06,17,11106,80154000,100.0
0056  ,2026-03-06,1,290069,90998996,0.66
0056  ,2026-03-06,2,737337,1738768953,12.7
0056  ,2026-03-06,3,215260,1664375513,12.15
0056  ,2026-03-06,4,92133,1166756874,8.52
0056  ,2026-03-06,5,54943,996133973,7.27
0056  ,2026-03-06,6,53425,1348252483,9.84
0056  ,2026-03-06,7,25150,889980555,6.5
0056  ,2026-03-06,8,15372,709752810,5.18
0056  ,2026-03-06,9,25375,1785116394,13.04
0056  ,2026-03-06,10,8105,1098537204,8.02
0056  ,2026-03-06,11,2057,556113817,4.06
0056  ,2026-03-06,12,385,189083090,1.38
0056  ,2026-03-06,13,116,80810314,0.59
0056  ,2026-03-06,14,57,52261101,0.38
0056  ,2026-03-06,15,139,1321129923,9.65
0056  ,2026-03-06,17,1519923,13688034000,100.0
0057  ,2026-03-06,1,669,46186,3.02
0057  ,2026-03-06,2,122,231008,15.12
0057  ,2026-03-06,3,9,67506,4.42
0057  ,2026-03-06,4,7,84100,5.5
0057  ,2026-03-06,5,2,34200,2.23
0057  ,2026-03-06,6,2,58000,3.79
0057  ,2026-03-06,7,1,32000,2.09
0057  ,2026-03-06,8,0,0,0.0
0057  ,2026-03-06,9,3,239996,15.71
0057  ,2026-03-06,10,5,734004,48.06
0057  ,2026-03-06,11,0,0,0.0
0057  ,2026-03-06,12,0,0,0.0
0057  ,2026-03-06,13,0,0,0.0
0057  ,2026-03-06,14,0,0,0.0
0057  ,2026-03-06,15,0,0,0.0
0057  ,2026-03-06,17,820,1527000,100.0
0061  ,2026-03-06,1,722,182527,0.15
0061  ,2026-03-06,2,3997,9472101,8.26
0061  ,2026-03-06,3,999,8324836,7.26
0061  ,2026-03-06,4,361,4747215,4.14
0061  ,2026-03-06,5,279,5268354,4.59
0061  ,2026-03-06,6,271,7034050,6.13
0061  ,2026-03-06,7,123,4529548,3.95
0061  ,2026-03-06,8,95,4488253,3.91
0061  ,2026-03-06,9,168,12892727,11.24
0061  ,2026-03-06,10,75,10095000,8.8
0061  ,2026-03-06,11,39,11048187,9.63
0061  ,2026-03-06,12,9,4647000,4.05
0061  ,2026-03-06,13,8,5451000,4.75
0061  ,2026-03-06,14,0,0,0.0
0061  ,2026-03-06,15,6,26435202,23.06
0061  ,2026-03-06,17,7152,114616000,100.0
006201,2026-03-06,1,595,110350,0.67
006201,2026-03-06,2,1096,2305837,14.02
006201,2026-03-06,3,177,1407150,8.55
006201,2026-03-06,4,53,675589,4.1
006201,2026-03-06,5,32,596000,3.62
006201,2026-03-06,6,23,619578,3.76
006201,2026-03-06,7,10,339728,2.06
006201,2026-03-06,8,7,334155,2.03
006201,2026-03-06,9,6,410000,2.49
006201,2026-03-06,10,4,667593,4.05
006201,2026-03-06,11,1,329320,2.0
006201,2026-03-06,12,2,1008000,6.12
006201,2026-03-06,13,0,0,0.0
006201,2026-03-06,14,1,881700,5.36
006201,2026-03-06,15,2,6761000,41.11
006201,2026-03-06,17,2009,16446000,100.0
006203,2026-03-06,1,739,110967,1.08
006203,2026-03-06,2,355,606721,5.93
006203,2026-03-06,3,29,214385,2.09
006203,2026-03-06,4,8,112029,1.09
006203,2026-03-06,5,8,142898,1.39
006203,2026-03-06,6,3,79000,0.77
006203,2026-03-06,7,0,0,0.0
006203,2026-03-06,8,1,42000,0.41
006203,2026-03-06,9,2,155000,1.51
006203,2026-03-06,10,1,124000,1.21
006203,2026-03-06,11,1,244000,2.38
006203,2026-03-06,12,3,1388000,13.58
006203,2026-03-06,13,0,0,0.0
006203,2026-03-06,14,1,1000000,9.78
006203,2026-03-06,15,2,5999000,58.71
006203,2026-03-06,17,1153,10218000,100.0
006204,2026-03-06,1,834,118203,7.88
006204,2026-03-06,2,293,509514,33.96
006204,2026-03-06,3,14,99478,6.63
006204,2026-03-06,4,4,54223,3.61
006204,2026-03-06,5,2,40000,2.66
006204,2026-03-06,6,3,76822,5.12
006204,2026-03-06,7,0,0,0.0
006204,2026-03-06,8,1,42000,2.8
006204,2026-03-06,9,1,70000,4.66
006204,2026-03-06,10,2,271000,18.06
006204,2026-03-06,11,1,218760,14.58
006204,2026-03-06,12,0,0,0.0
006204,2026-03-06,13,0,0,0.0
006204,2026-03-06,14,0,0,0.0
006204,2026-03-06,15,0,0,0.0
006204,2026-03-06,17,1155,1500000,100.0
006205,2026-03-06,1,3339,1038722,0.95
006205,2026-03-06,2,4401,9923235,9.1
006205,2026-03-06,3,1108,8533846,7.83
006205,2026-03-06,4,361,4599764,4.22
006205,2026-03-06,5,263,4823440,4.42
006205,2026-03-06,6,198,5002415,4.59
006205,2026-03-06,7,104,3700805,3.39
006205,2026-03-06,8,42,1973958,1.81
006205,2026-03-06,9,127,9094519,8.34
006205,2026-03-06,10,62,8956735,8.22
006205,2026-03-06,11,11,3240831,2.97
006205,2026-03-06,12,10,4940052,4.53
006205,2026-03-06,13,10,7121001,6.53
006205,2026-03-06,14,2,1796000,1.64
006205,2026-03-06,15,8,34193677,31.38
006205,2026-03-06,17,10046,108939000,100.0
006206,2026-03-06,1,866,217914,0.68
006206,2026-03-06,2,1798,4025364,12.66
006206,2026-03-06,3,481,3856883,12.13
006206,2026-03-06,4,149,1916627,6.03
006206,2026-03-06,5,114,2114288,6.65
006206,2026-03-06,6,103,2653130,8.34
006206,2026-03-06,7,56,2060415,6.48
006206,2026-03-06,8,38,1835252,5.77
006206,2026-03-06,9,44,3264089,10.27
006206,2026-03-06,10,14,1889782,5.94
006206,2026-03-06,11,8,2302124,7.24
006206,2026-03-06,12,2,1025229,3.22
006206,2026-03-06,13,2,1528903,4.81
006206,2026-03-06,14,0,0,0.0
006206,2026-03-06,15,1,3088000,9.71
006206,2026-03-06,17,3676,31778000,100.0
006207,2026-03-06,1,270,60009,0.24
006207,2026-03-06,2,896,2101766,8.44
006207,2026-03-06,3,220,1793689,7.2
006207,2026-03-06,4,73,925126,3.71
006207,2026-03-06,5,70,1314634,5.28
006207,2026-03-06,6,61,1631317,6.55
006207,2026-03-06,7,22,779000,3.12
006207,2026-03-06,8,19,897118,3.6
006207,2026-03-06,9,44,3209765,12.89
006207,2026-03-06,10,21,3151796,12.66
006207,2026-03-06,11,13,3972000,15.95
006207,2026-03-06,12,5,2334876,9.38
006207,2026-03-06,13,2,1276008,5.12
006207,2026-03-06,14,0,0,0.0
006207,2026-03-06,15,1,1444896,5.8
006207,2026-03-06,17,1717,24892000,100.0
006208,2026-03-06,1,352367,107996472,5.81
006208,2026-03-06,2,249294,533985399,28.73
006208,2026-03-06,3,43265,310215880,16.69
006208,2026-03-06,4,13979,172261917,9.26
006208,2026-03-06,5,6649,116914046,6.29
006208,2026-03-06,6,5422,132437197,7.12
006208,2026-03-06,7,2181,75652869,4.07
006208,2026-03-06,8,1025,46144137,2.48
006208,2026-03-06,9,1429,95769121,5.15
006208,2026-03-06,10,327,42834687,2.3
006208,2026-03-06,11,66,17802938,0.95
006208,2026-03-06,12,15,6898854,0.37
006208,2026-03-06,13,8,5199223,0.27
006208,2026-03-06,14,2,1908000,0.1
006208,2026-03-06,15,40,192524177,10.35
006208,2026-03-06,17,676069,1858540000,100.0
00625K,2026-03-06,1,0,0,0.0
00625K,2026-03-06,2,5,17000,5.1
00625K,2026-03-06,3,1,10000,3.0
00625K,2026-03-06,4,1,12000,3.6
00625K,2026-03-06,5,1,16000,4.8
00625K,2026-03-06,6,1,23000,6.9
00625K,2026-03-06,7,1,35000,10.51
00625K,2026-03-06,8,0,0,0.0
00625K,2026-03-06,9,2,108000,32.43
00625K,2026-03-06,10,1,112000,33.63
00625K,2026-03-06,11,0,0,0.0
00625K,2026-03-06,12,0,0,0.0
00625K,2026-03-06,13,0,0,0.0
00625K,2026-03-06,14,0,0,0.0
00625K,2026-03-06,15,0,0,0.0
00625K,2026-03-06,17,13,333000,100.0
00631L,2026-03-06,1,48164,8964295,7.02
00631L,2026-03-06,2,17497,34889310,27.34
00631L,2026-03-06,3,2450,17910821,14.03
00631L,2026-03-06,4,795,9929830,7.78
00631L,2026-03-06,5,385,6860660,5.37
00631L,2026-03-06,6,333,8322885,6.52
00631L,2026-03-06,7,151,5287543,4.14
00631L,2026-03-06,8,78,3572962,2.8
00631L,2026-03-06,9,117,8132581,6.37
00631L,2026-03-06,10,36,4916480,3.85
00631L,2026-03-06,11,12,3083722,2.41
00631L,2026-03-06,12,3,1495029,1.17
00631L,2026-03-06,13,3,2075598,1.62
00631L,2026-03-06,14,3,2733729,2.14
00631L,2026-03-06,15,3,9408555,7.37
00631L,2026-03-06,17,70030,127584000,100.0
00632R,2026-03-06,1,11445,4437798,0.22
00632R,2026-03-06,2,20452,51068964,2.56
00632R,2026-03-06,3,8050,63492664,3.19
00632R,2026-03-06,4,3866,49897636,2.5
00632R,2026-03-06,5,2865,52621087,2.64
00632R,2026-03-06,6,3465,88413261,4.44
00632R,2026-03-06,7,1919,68764374,3.45
00632R,2026-03-06,8,1535,70936478,3.56
00632R,2026-03-06,9,3363,246089264,12.37
